category,opset,onnx_bytes,err_max_A_rgb,err_max_A_depth
bagel,18,2324845,3.129243850708008e-06,4.872679710388184e-06
cable_gland,18,2324845,5.260109901428223e-06,3.4943222999572754e-06
carrot,18,2324845,8.89599323272705e-06,4.887580871582031e-06
cookie,18,2324845,4.187226295471191e-06,8.52346420288086e-06
dowel,18,2324845,4.276633262634277e-06,4.969537258148193e-06
foam,18,2324845,3.9637088775634766e-06,4.127621650695801e-06
peach,18,2324845,5.714595317840576e-06,3.4868717193603516e-06
potato,18,2324845,4.604458808898926e-06,5.4836273193359375e-06
rope,18,2325116,4.32133674621582e-06,2.8759241104125977e-06
tire,18,2325116,7.0035457611083984e-06,4.328787326812744e-06
