category,ir_bytes,err_max_A_rgb,err_max_A_depth
bagel,612598,3.6507844924926758e-06,4.872679710388184e-06
cable_gland,612596,5.379319190979004e-06,3.4570693969726562e-06
carrot,612598,7.897615432739258e-06,4.939734935760498e-06
cookie,612596,5.0961971282958984e-06,8.58306884765625e-06
dowel,612598,5.111098289489746e-06,4.984438419342041e-06
foam,612598,6.750226020812988e-06,4.172325134277344e-06
peach,612598,6.213784217834473e-06,3.546476364135742e-06
potato,612596,5.386769771575928e-06,5.602836608886719e-06
rope,612598,3.6656856536865234e-06,2.823770046234131e-06
tire,612596,5.811452865600586e-06,4.306435585021973e-06
