category,int8_bytes,parity_int8_vs_fp32_maxerr,parity_int8_vs_pytorch_maxerr
bagel,412154,0.39970630407333374,0.4010813236236572
cable_gland,411672,0.34087449312210083,0.3405381441116333
carrot,412150,0.32477062940597534,0.32238084077835083
cookie,412152,0.4262140095233917,0.42503106594085693
dowel,411186,0.3295585811138153,0.33120694756507874
foam,412158,0.3332980275154114,0.3337285816669464
peach,411670,0.3900960087776184,0.38918834924697876
potato,411668,0.33367645740509033,0.3345469832420349
rope,411322,0.4119802713394165,0.4140065014362335
tire,411672,0.35146793723106384,0.35428208112716675
