category,defect,sample_id,gt_area,label,s_full,p_rgb,evidence_class,e_rgb_topk,e_depth_topk,e_rgb_mean,e_depth_mean,rank_score
bagel,combined,bagel/test/combined/007,0.01678466796875,1,6.939225196838379,0.564573842550058,JOINT,7.46801150574484,5.759684108773192,5.326760426945536,1.8294850701942071,1.0
bagel,combined,bagel/test/combined/021,0.011077880859375,1,7.521231651306152,0.5668327608777091,JOINT,7.597522075045544,5.8059401674127855,5.021403127980914,2.1067343079785372,2.0
bagel,crack,bagel/test/crack/007,0.01129150390625,1,7.689342975616455,0.5516299196349955,JOINT,7.562260734634443,6.146676931415917,5.553703929551751,2.327952633210563,3.0
cookie,crack,cookie/test/crack/000,0.01580810546875,1,3.4217560291290283,0.5598196556906703,JOINT,3.6983516767016966,2.9079742700342175,1.6815417552408263,0.8654117568612932,1.0
cookie,combined,cookie/test/combined/021,0.0112762451171875,1,3.5927770137786865,0.526460321664219,JOINT,3.682357933413027,3.3122003560174624,1.5208849865072918,1.626181869303566,2.0
cookie,contamination,cookie/test/contamination/008,0.0189208984375,1,4.161808013916016,0.571074398228039,JOINT,4.616867035556088,3.4676600922702647,2.3126379195098736,1.995693448788034,3.0
dowel,combined,dowel/test/combined/002,0.0113677978515625,1,8.949201583862305,0.5560276329279915,JOINT,8.428900274342501,6.730237903609271,2.6360991099774114,3.221352442387117,1.0
foam,color,foam/test/color/000,0.01422119140625,1,6.914425849914551,0.8659766154178343,RGB-DOMINANT,8.482641737736072,1.3128200804408268,4.780625171646852,-0.40726275076392926,1.0
peach,combined,peach/test/combined/024,0.0101776123046875,1,11.18911361694336,0.7732942754330544,RGB-DOMINANT,11.298660265726381,3.3124132303301055,6.935474764679893,1.2626381698220326,1.0
rope,open,rope/test/open/003,0.014892578125,1,13.56451416015625,0.2446508609213095,DEPTH-DOMINANT,7.624368111489718,23.539911622196524,2.584629860968677,14.763672504303386,1.0
rope,open,rope/test/open/013,0.0146636962890625,1,13.665687561035156,0.09629415342243648,DEPTH-DOMINANT,2.5080932028418084,23.538068660639205,1.150909409422494,15.581413073737089,2.0
rope,open,rope/test/open/002,0.0125732421875,1,13.983949661254883,0.08512429952897471,DEPTH-DOMINANT,2.418390075515413,25.991711432197306,0.5832351419560764,13.10742668241745,3.0
