category,defect,sample_id,gt_area,label,s_full,p_rgb,evidence_class,e_rgb_topk,e_depth_topk,e_rgb_mean,e_depth_mean
bagel,crack,bagel/test/crack/008,0.00872802734375,1,8.550174713134766,0.4908045367639829,JOINT,8.494589823160782,8.81288941972386,5.681474922286165,3.8330193389641956
cable_gland,bent,cable_gland/test/bent/003,0.0051116943359375,1,9.893135070800781,0.6284279279477489,JOINT,8.149579326622897,4.818620105265771,5.7593539055702925,-0.0853695709475828
carrot,crack,carrot/test/crack/003,0.0066070556640625,1,11.941850662231445,0.5221719910634327,JOINT,13.772627430940432,12.603024929730443,10.232610486430461,7.484942287125295
cookie,contamination,cookie/test/contamination/012,0.0052642822265625,1,5.082726001739502,0.33577101789490216,JOINT,1.8190067689323228,3.5983947821767193,1.2464482600207982,1.8780979768012727
dowel,combined,dowel/test/combined/013,0.0055389404296875,1,7.885071754455566,0.48813351846443265,JOINT,10.380725729884652,10.885433730762003,5.811706670127151,4.2156936596713335
foam,combined,foam/test/combined/003,0.006011962890625,1,5.6219096183776855,0.551428116922363,JOINT,6.5248204588948875,5.307764255651717,3.2794062862427817,1.901784906093558
peach,cut,peach/test/cut/010,0.0095062255859375,1,9.964214324951172,0.6246460119124752,JOINT,9.509566628292099,5.7143615202775235,6.429833979221587,1.5924386490048585
potato,combined,potato/test/combined/020,0.0059814453125,1,8.985518455505371,0.6323612489857,JOINT,10.186287013008934,5.922047261088931,8.59285887754515,2.4649264603369567
rope,open,rope/test/open/001,0.01324462890625,1,18.053133010864258,0.06727391335961676,DEPTH-DOMINANT,1.9302443478409508,26.762070164157187,0.16063398472748697,14.63484417600317
tire,contamination,tire/test/contamination/010,0.006500244140625,1,7.1695075035095215,0.5122057311325391,JOINT,7.2356039734821636,6.89075780165412,3.5780727752302806,2.9480150965483127
