model,category,provenance,I,P,AUPRO
H1_RGB,bagel,measured_by_us,0.9607438016528925,0.9919710228982437,0.9516935369045543
H1_RGB,cable_gland,measured_by_us,0.9523809523809523,0.9938956581326318,0.9736993257468317
H1_RGB,carrot,measured_by_us,0.9219977553310886,0.9943991142587072,0.9735137002248941
H1_RGB,cookie,measured_by_us,0.720873786407767,0.9707192604855636,0.8802361414573379
H1_RGB,dowel,measured_by_us,0.9308431952662721,0.9965952109782168,0.9725767254089781
H1_RGB,foam,measured_by_us,0.745,0.9528744178961026,0.8351921458411529
H1_RGB,peach,measured_by_us,0.9361393323657474,0.9935731300716801,0.9698722335829117
H1_RGB,potato,measured_by_us,0.6106719367588932,0.9895901458271519,0.9515342800942058
H1_RGB,rope,measured_by_us,0.9859601449275363,0.9939660529216757,0.9552101455400057
H1_RGB,tire,measured_by_us,0.8790804597701148,0.9947961959441823,0.9693810195265137
H1_RGB,MEAN,measured_by_us,0.8644,0.9872,0.9433
