category,weight_rule,w_rgb,w_xyz,I_AUROC,P_AUROC,AUPRO
bagel,RGB_0.75_XYZ_0.25,0.75,0.25,0.9474638429752066,0.9912378638570617,0.9532257898868431
bagel,RGB_0.60_XYZ_0.40,0.6,0.4,0.9304958677685949,0.9901979684323526,0.9529451416762162
bagel,RGB_0.50_XYZ_0.50,0.5,0.5,0.9191838842975206,0.9895047048158799,0.9527580428691318
bagel,RGB_0.40_XYZ_0.60,0.4,0.6,0.9078719008264462,0.9888114411994073,0.9525709440620473
bagel,Normal_Inv_Variance,0.65,0.35,0.9361518595041322,0.9905446002405891,0.9530386910797586
cable_gland,RGB_0.75_XYZ_0.25,0.75,0.25,0.8254707170224411,0.9938956581326318,0.9736993257468316
cable_gland,RGB_0.60_XYZ_0.40,0.6,0.4,0.7463245758073344,0.9938956581326318,0.9736993257468316
cable_gland,RGB_0.50_XYZ_0.50,0.5,0.5,0.6935604816639299,0.9938956581326318,0.9736993257468316
cable_gland,RGB_0.40_XYZ_0.60,0.4,0.6,0.6407963875205255,0.9938956581326318,0.9736993257468316
cable_gland,Normal_Inv_Variance,0.65,0.35,0.7727066228790367,0.9938956581326318,0.9736993257468316
carrot,RGB_0.75_XYZ_0.25,0.75,0.25,0.8665319865319866,0.9944947259299426,0.9726800367200987
carrot,RGB_0.60_XYZ_0.40,0.6,0.4,0.8302525252525251,0.9939520929326838,0.9709798386172217
carrot,RGB_0.50_XYZ_0.50,0.5,0.5,0.8060662177328844,0.9935903376011779,0.9698463732153035
carrot,RGB_0.40_XYZ_0.60,0.4,0.6,0.7818799102132435,0.993228582269672,0.9687129078133856
carrot,Normal_Inv_Variance,0.65,0.35,0.8423456790123457,0.9941329705984366,0.9715465713181807
cookie,RGB_0.75_XYZ_0.25,0.75,0.25,0.7789251040221915,0.9685483460459516,0.8943605292995802
cookie,RGB_0.60_XYZ_0.40,0.6,0.4,0.8107558945908461,0.9666457973821846,0.9016351620049257
cookie,RGB_0.50_XYZ_0.50,0.5,0.5,0.8319764216366159,0.9653774316063398,0.9064849171418226
cookie,RGB_0.40_XYZ_0.60,0.4,0.6,0.8531969486823857,0.9641090658304949,0.9113346722787196
cookie,Normal_Inv_Variance,0.45,0.55,0.8425866851595009,0.9647432487184174,0.9089097947102711
