model,category,provenance,I,P,AUPRO
H3C_Corrected_Concat,bagel,measured_by_us,0.963285123966942,0.9891979684323526,0.9509451416762162
H3C_Corrected_Concat,cable_gland,measured_by_us,0.9465900383141762,0.9693779635230942,0.890577851717293
H3C_Corrected_Concat,carrot,measured_by_us,0.9217704826038159,0.9929520929326838,0.9689798386172217
H3C_Corrected_Concat,cookie,measured_by_us,0.9335003467406381,0.9656457973821846,0.8996351620049257
H3C_Corrected_Concat,dowel,measured_by_us,0.9319693047337276,0.9822508538789144,0.9340314203346398
H3C_Corrected_Concat,foam,measured_by_us,0.7481,0.943973879258675,0.7968420464238555
H3C_Corrected_Concat,peach,measured_by_us,0.9392525399129172,0.9920834598283462,0.9627190889567918
H3C_Corrected_Concat,potato,measured_by_us,0.6327050395256917,0.9895082972792137,0.955431092915652
H3C_Corrected_Concat,rope,measured_by_us,0.9892957427536232,0.9647109867121744,0.8651362534199922
H3C_Corrected_Concat,tire,measured_by_us,0.8776091954022988,0.9664951557577235,0.8804998604032412
H3C_Corrected_Concat,MEAN,measured_by_us,0.888407781395383,0.9756196454985362,0.9104797756469829
