model,category,provenance,I,P,AUPRO,variant
H3_MULTIMODAL,bagel,measured_by_us,0.9726239669421488,0.9932069108100329,0.9591206795834755,H3A_Calibrated_50_50
H3_MULTIMODAL,bagel,measured_by_us,0.9607438016528925,0.9919710228982437,0.9516935369045543,H3B_Max_Fusion
H3_MULTIMODAL,bagel,measured_by_us,0.9772727272727273,0.5326171284852775,0.18195503189254908,H3C_Concat_Fusion
H3_MULTIMODAL,cable_gland,measured_by_us,0.9255610290093048,0.9937990259738443,0.9734147574422255,H3A_Calibrated_50_50
H3_MULTIMODAL,cable_gland,measured_by_us,0.9523809523809523,0.9938956581326318,0.9736993257468317,H3B_Max_Fusion
H3_MULTIMODAL,cable_gland,measured_by_us,0.9403393541324576,0.5648311161250589,0.2251209080740177,H3C_Concat_Fusion
H3_MULTIMODAL,carrot,measured_by_us,0.9169472502805835,0.9950507122749829,0.9746107428468702,H3A_Calibrated_50_50
H3_MULTIMODAL,carrot,measured_by_us,0.9219977553310886,0.9943991142587072,0.9735137002248941,H3B_Max_Fusion
H3_MULTIMODAL,carrot,measured_by_us,0.9116161616161615,0.695514859779508,0.23576065886301475,H3C_Concat_Fusion
H3_MULTIMODAL,cookie,measured_by_us,0.8918169209431346,0.9750623461365631,0.9143904311471535,H3A_Calibrated_50_50
H3_MULTIMODAL,cookie,measured_by_us,0.720873786407767,0.9707192604855636,0.8802361414573379,H3B_Max_Fusion
H3_MULTIMODAL,cookie,measured_by_us,0.7146324549237172,0.5549008627618378,0.18568452377698538,H3C_Concat_Fusion
H3_MULTIMODAL,dowel,measured_by_us,0.9349112426035504,0.9966003922776352,0.9757288232278446,H3A_Calibrated_50_50
H3_MULTIMODAL,dowel,measured_by_us,0.9308431952662721,0.9965952109782168,0.9725767254089781,H3B_Max_Fusion
H3_MULTIMODAL,dowel,measured_by_us,0.9452662721893491,0.6729015806430645,0.3006167315118475,H3C_Concat_Fusion
H3_MULTIMODAL,foam,measured_by_us,0.786875,0.968717495196432,0.880989869096336,H3A_Calibrated_50_50
H3_MULTIMODAL,foam,measured_by_us,0.745,0.9528744178961026,0.8351921458411529,H3B_Max_Fusion
H3_MULTIMODAL,foam,measured_by_us,0.7637499999999999,0.47775590753951674,0.15398991510343712,H3C_Concat_Fusion
H3_MULTIMODAL,peach,measured_by_us,0.9640783744557329,0.9946118799860894,0.9732639075918946,H3A_Calibrated_50_50
H3_MULTIMODAL,peach,measured_by_us,0.9361393323657474,0.9935731300716801,0.9698722335829117,H3B_Max_Fusion
H3_MULTIMODAL,peach,measured_by_us,0.9013062409288825,0.6434608192115531,0.2201741183210009,H3C_Concat_Fusion
H3_MULTIMODAL,potato,measured_by_us,0.6605731225296443,0.991331145711054,0.9578107758364041,H3A_Calibrated_50_50
H3_MULTIMODAL,potato,measured_by_us,0.6106719367588932,0.9895901458271519,0.9515342800942058,H3B_Max_Fusion
H3_MULTIMODAL,potato,measured_by_us,0.6437747035573123,0.4851489320508616,0.20460650660112747,H3C_Concat_Fusion
H3_MULTIMODAL,rope,measured_by_us,0.9913949275362319,0.9955947251630166,0.9676532688280056,H3A_Calibrated_50_50
H3_MULTIMODAL,rope,measured_by_us,0.9859601449275363,0.9939660529216757,0.9552101455400057,H3B_Max_Fusion
H3_MULTIMODAL,rope,measured_by_us,0.9913949275362319,0.7880569085359548,0.30667666015102346,H3C_Concat_Fusion
H3_MULTIMODAL,tire,measured_by_us,0.8547126436781609,0.9929422815671963,0.9634942975172199,H3A_Calibrated_50_50
H3_MULTIMODAL,tire,measured_by_us,0.8790804597701148,0.9947961959441823,0.9693810195265137,H3B_Max_Fusion
H3_MULTIMODAL,tire,measured_by_us,0.832183908045977,0.5342551049416763,0.152756520786593,H3C_Concat_Fusion
H3_MULTIMODAL,MEAN,measured_by_us,0.8899494477978493,0.9896916915096845,0.954047755311743,H3A_Calibrated_50_50
H3_MULTIMODAL,MEAN,measured_by_us,0.8643691364861263,0.9872380209414157,0.9432909254327386,H3B_Max_Fusion
H3_MULTIMODAL,MEAN,measured_by_us,0.8621536750202816,0.594944322007431,0.21673415750815966,H3C_Concat_Fusion
