category,metric,variant,ours,m3dm_reported_prior_work,gap,note
bagel,I-AUROC,H3C_Concat_Fusion,0.9773,0.9450,+0.0323,M3DM=REPORTED BY PRIOR WORK; ours=measured_by_us
bagel,P-AUROC,H3C_Concat_Fusion,0.5326,0.9920,+-0.4594,
bagel,AUPRO@0.3,H3C_Concat_Fusion,0.1820,0.9640,+-0.7820,
cable_gland,I-AUROC,H1_RGB,0.9524,0.9450,+0.0074,
cable_gland,P-AUROC,H1_RGB,0.9939,0.9920,+0.0019,
cable_gland,AUPRO@0.3,H1_RGB,0.9737,0.9640,+0.0097,
carrot,I-AUROC,H1_RGB,0.9220,0.9450,+-0.0230,
carrot,P-AUROC,H1_RGB,0.9944,0.9920,+0.0024,
carrot,AUPRO@0.3,H1_RGB,0.9735,0.9640,+0.0095,
cookie,I-AUROC,H2_XYZ,0.9331,0.9450,+-0.0119,
cookie,P-AUROC,H2_XYZ,0.9580,0.9920,+-0.0340,
cookie,AUPRO@0.3,H2_XYZ,0.9287,0.9640,+-0.0353,
dowel,I-AUROC,H3C_Concat_Fusion,0.9453,0.9450,+0.0003,
dowel,P-AUROC,H3C_Concat_Fusion,0.6729,0.9920,+-0.3191,
dowel,AUPRO@0.3,H3C_Concat_Fusion,0.3006,0.9640,+-0.6634,
foam,I-AUROC,H3C_Concat_Fusion,0.7637,0.9450,+-0.1813,
foam,P-AUROC,H3C_Concat_Fusion,0.4778,0.9920,+-0.5142,
foam,AUPRO@0.3,H3C_Concat_Fusion,0.1540,0.9640,+-0.8100,
peach,I-AUROC,H1_RGB,0.9361,0.9450,+-0.0089,
peach,P-AUROC,H1_RGB,0.9936,0.9920,+0.0016,
peach,AUPRO@0.3,H1_RGB,0.9699,0.9640,+0.0059,
potato,I-AUROC,H3C_Concat_Fusion,0.6438,0.9450,+-0.3012,
potato,P-AUROC,H3C_Concat_Fusion,0.4851,0.9920,+-0.5069,
potato,AUPRO@0.3,H3C_Concat_Fusion,0.2046,0.9640,+-0.7594,
rope,I-AUROC,H3C_Concat_Fusion,0.9914,0.9450,+0.0464,
rope,P-AUROC,H3C_Concat_Fusion,0.7881,0.9920,+-0.2039,
rope,AUPRO@0.3,H3C_Concat_Fusion,0.3067,0.9640,+-0.6573,
tire,I-AUROC,H1_RGB,0.8791,0.9450,+-0.0659,
tire,P-AUROC,H1_RGB,0.9948,0.9920,+0.0028,
tire,AUPRO@0.3,H1_RGB,0.9694,0.9640,+0.0054,
MEAN,I-AUROC,(best of H1/H2/H3C),0.8944,0.9450,+-0.0506,
MEAN,P-AUROC,(best of H1/H2/H3C),0.7891,0.9920,+-0.2029,
MEAN,AUPRO@0.3,(best of H1/H2/H3C),0.5963,0.9640,+-0.3677,
