category,split,num_rgb_png,num_xyz_tiff
bagel,train,244,244
bagel,test,220,110
bagel,validation,22,22
cable_gland,train,223,223
cable_gland,test,216,108
cable_gland,validation,23,23
carrot,train,286,286
carrot,test,318,159
carrot,validation,29,29
cookie,train,210,210
cookie,test,262,131
cookie,validation,22,22
dowel,train,288,288
dowel,test,260,130
dowel,validation,34,34
foam,train,236,236
foam,test,200,100
foam,validation,27,27
peach,train,361,361
peach,test,264,132
peach,validation,42,42
potato,train,300,300
potato,test,228,114
potato,validation,33,33
rope,train,298,298
rope,test,202,101
rope,validation,33,33
tire,train,210,210
tire,test,224,112
tire,validation,29,29
