epoch,train_loss,val_loss,lr,secs
0,0.5701208823436016,0.40299381613731383,0.001,23.39033603668213
1,0.33974689245224,0.3251952648162842,0.001,21.519426107406616
2,0.29634507121266546,0.290793651342392,0.001,20.772996425628662
3,0.27304723214458776,0.27715548872947693,0.001,21.21932077407837
4,0.2554872350112812,0.26376211643218994,0.001,20.80083918571472
5,0.2430126405245549,0.2528419137001038,0.001,21.069108247756958
6,0.2333370813646832,0.24711527228355407,0.001,21.063210248947144
7,0.22606049115593368,0.24231047928333282,0.001,21.187392950057983
8,0.2207224699291023,0.24090487360954285,0.001,21.55865240097046
9,0.2154244075755815,0.23364832401275634,0.001,22.554553270339966
10,0.21111486529981768,0.22945576608181,0.001,21.84196901321411
11,0.20620906594637278,0.23011497557163238,0.001,21.422731399536133
12,0.20301804268682325,0.22406975626945497,0.001,21.444308757781982
13,0.19950724292445826,0.21926169097423553,0.001,24.598844289779663
14,0.19601279819333875,0.21908217072486877,0.001,22.16262722015381
15,0.19229431248999931,0.21967407166957856,0.001,21.61133646965027
16,0.19029593306618767,0.21220508217811584,0.001,24.160245656967163
17,0.18784091762594274,0.20970817804336547,0.001,23.733191967010498
18,0.18542317482265266,0.20797478556632995,0.001,19.98047113418579
19,0.18268917259332296,0.20803323090076448,0.001,27.50754189491272
20,0.18071596686904495,0.2055190771818161,0.001,23.260859727859497
21,0.1791336818321331,0.20443155765533447,0.001,24.10700821876526
22,0.17740598683421677,0.20518599152565004,0.001,24.78787660598755
23,0.17660032212734222,0.20244975984096528,0.001,24.6985924243927
24,0.1750240076232601,0.20118262767791747,0.001,24.384639978408813
25,0.17252587386079737,0.19961702227592468,0.001,24.517658948898315
26,0.1717483695294406,0.2001100480556488,0.001,24.66938352584839
27,0.16977505667789564,0.1951008439064026,0.001,24.06272530555725
28,0.16941675865972364,0.194716677069664,0.001,24.34604263305664
29,0.1678542776687725,0.19450393617153167,0.001,24.347975254058838
30,0.16647750058689634,0.19283663034439086,0.001,24.261001586914062
31,0.16518617199884877,0.19162654280662536,0.001,23.5481116771698
