epoch,train_loss,val_loss,gamma_rd,gamma_dr,res_mag,entropy
0,0.37486455417596376,0.3718096924652656,0.02431482821702957,0.0,0.37718531489372253,5.34794267018636
1,0.37467429500359756,0.37167997785806656,0.029229460284113884,0.0,0.31564350922902423,5.0484592119852705
2,0.37362468471893895,0.3716255770633618,0.03400856629014015,0.0,0.2968842685222626,4.914525985717773
3,0.3742486788676335,0.37148000925978025,0.03558216989040375,0.0,0.29751358429590863,4.876754283905029
4,0.3732823935838846,0.37148183445831134,0.038463398814201355,0.0,0.3037988444169362,4.849082787831624
5,0.37355766617334807,0.37142592420081294,0.04127473384141922,0.0,0.2806633810202281,4.873616536458333
6,0.3738449582686791,0.3713630387912194,0.04352075234055519,0.0,0.26350246866544086,4.855717500050862
7,0.37323505259477174,0.3713851609210173,0.047860145568847656,0.0,0.2673880457878113,4.787883599599202
8,0.3735331606406432,0.37139263664186,0.05072236433625221,0.0,0.24498358368873596,4.764355341593425
9,0.3738835362287668,0.37146380892594655,0.05420279875397682,0.0,0.24871516227722168,4.698989232381185
10,0.3729665267925996,0.37157624015758434,0.05535585433244705,0.0,0.2376189281543096,4.720310688018799
11,0.3727156806450624,0.371540303131938,0.05918256565928459,0.0,0.229526549577713,4.660164833068848
12,0.3729078953082745,0.3714903910805782,0.061605874449014664,0.0,0.22816672921180725,4.644327322642009
13,0.37284868267866283,0.37137468372980753,0.062038492411375046,0.0,0.2217575709025065,4.605323473612468
14,0.372799976513936,0.37127709073871373,0.06529516726732254,0.0,0.21480688949426016,4.565443833669026
15,0.372426661161276,0.3711612532844146,0.06818091869354248,0.0,0.21009613076845804,4.507437864939372
16,0.37194428077110875,0.3710148792808255,0.07202020287513733,0.0,0.19812450309594473,4.421717484792073
17,0.3724149110225531,0.37102905776500705,0.07563282549381256,0.0,0.19998685518900552,4.3679459889729815
18,0.37149828443160426,0.37105142377366623,0.07725686579942703,0.0,0.20232771337032318,4.30057430267334
19,0.37193565987623656,0.3709861086731156,0.08065838366746902,0.0,0.19197968145211539,4.22896671295166
20,0.3719370858027385,0.37163161696294944,0.08421457558870316,0.0,0.2054908573627472,4.1639048258463545
21,0.3714613834252724,0.3710503874356548,0.084108367562294,0.0,0.19232617318630219,4.131996472676595
22,0.37228175424612486,0.370641221219798,0.08599081635475159,0.0,0.19620245198408762,4.069616635640462
23,0.37155609749830687,0.370401916586856,0.08721493184566498,0.0,0.20009593665599823,4.06442403793335
24,0.3715305901490725,0.37057711826264866,0.09050893038511276,0.0,0.19370054205258688,4.029196103413899
25,0.37138057672060454,0.37088605797092117,0.09388676285743713,0.0,0.17672421534856161,4.046889464060466
26,0.3715979972710976,0.3708780169293284,0.09529818594455719,0.0,0.1822314610083898,4.010266939798991
27,0.37191789425336397,0.37112051439434296,0.09590184688568115,0.0,0.18694081405798593,4.0034652551015215
28,0.3717363832088617,0.37082044595430297,0.09553536027669907,0.0,0.1890148768822352,3.995566209157308
29,0.37101954450974095,0.3709099166944623,0.09774371981620789,0.0,0.18211865921815237,3.9698421160380044
30,0.3708808490863213,0.3710843164483706,0.10001172125339508,0.0,0.1897029479344686,3.9631613890329995
31,0.37102752923965454,0.3703612975810964,0.10066110640764236,0.0,0.18011278410752615,3.9656755129496255
32,0.37044669458499324,0.37025258362839625,0.1035572737455368,0.0,0.17509653667608896,3.992628256479899
33,0.3710485180983177,0.3707195262943705,0.10236017405986786,0.0,0.18125689526398978,3.984787384668986
34,0.3706376827680148,0.37083558731377125,0.10495473444461823,0.0,0.17965901891390482,3.91791303952535
35,0.37109946402219623,0.3702325595835845,0.10690759122371674,0.0,0.1779462695121765,3.944718599319458
36,0.3713456117189847,0.37012435147662964,0.10766025632619858,0.0,0.1711498200893402,3.9235214392344155
37,0.37042000660529506,0.37022763047417007,0.11032702773809433,0.0,0.17478527625401816,3.915182113647461
38,0.36977891280100894,0.3707386380960544,0.11055634170770645,0.0,0.18663552403450012,3.8939828872680664
39,0.3709178968117787,0.3702498674650987,0.11124075949192047,0.0,0.1740453044573466,3.9315269788106284
40,0.37005981688316053,0.370593096268177,0.11496450752019882,0.0,0.16952105363210043,3.9139902591705322
41,0.3704479623299379,0.3706671016186476,0.11542901396751404,0.0,0.1813801427682241,3.9471515814463296
42,0.3703225633272758,0.3702924717436234,0.11589045822620392,0.0,0.16861262917518616,3.9095638593037925
43,0.3697518717784148,0.3702440698037545,0.1162986159324646,0.0,0.1686423122882843,3.940345843633016
44,0.3710860392222038,0.37012982813616596,0.1173732653260231,0.0,0.16972938179969788,3.909617821375529
