epoch,train_loss,val_loss,gamma_rd,gamma_dr,res_mag,entropy
0,0.18339017557131276,0.23635286231845615,0.0,0.018099196255207062,0.20416180193424224,5.448526096343994
1,0.18375288634686857,0.23581734274297955,0.0,0.03227543830871582,0.2141918271780014,5.189061164855957
2,0.18341228768632217,0.23552801823496822,0.0,0.036495961248874664,0.18350125551223756,5.189050483703613
3,0.18365863489138112,0.23521334357947113,0.0,0.04124950245022774,0.17936747372150422,5.217653465270996
4,0.18319507708420624,0.23504315379142757,0.0,0.045347440987825394,0.17085046768188478,5.109373760223389
5,0.18267916988682104,0.23487104691177613,0.0,0.04999208450317383,0.1711629718542099,5.097647380828858
6,0.18283631511636683,0.2346801816421747,0.0,0.05317210406064987,0.15139679312705995,5.054163265228271
7,0.18292132261637095,0.23462648376494646,0.0,0.05665105581283569,0.152589413523674,4.944685077667236
8,0.1825496163722631,0.23445357854753732,0.0,0.06088491901755333,0.15534206330776215,4.807891845703125
9,0.18257963456012108,0.234165023304522,0.0,0.06605105102062225,0.16735456883907318,4.714762592315674
10,0.18260510185280363,0.23399532913267612,0.0,0.07046113163232803,0.17039188742637634,4.596340656280518
11,0.1823639559584695,0.23374415333360435,0.0,0.07521193474531174,0.17809914648532868,4.534277439117432
12,0.18169481005217578,0.23356146246939896,0.0,0.0810985267162323,0.20014934241771698,4.475763320922852
13,0.18174150948588913,0.2334157705715299,0.0,0.08538280427455902,0.19282061755657195,4.482302856445313
14,0.18172984509854703,0.23331449445456265,0.0,0.0898146778345108,0.18529928028583526,4.4758992195129395
15,0.18184336939373533,0.23315834056109191,0.0,0.0933484211564064,0.17771613895893096,4.465620231628418
16,0.1813669853113793,0.23307738530337813,0.0,0.09803468734025955,0.1782250702381134,4.485622215270996
17,0.18145885701115066,0.23306624867111445,0.0,0.09958736598491669,0.18954499661922455,4.451465892791748
18,0.18125179973808495,0.23314294712036848,0.0,0.10486450046300888,0.20472245514392853,4.450295257568359
19,0.18145625414075078,0.23284479652911422,0.0,0.10624004900455475,0.1685942143201828,4.468364620208741
20,0.1812477655507423,0.23296524252444506,0.0,0.10634028166532516,0.17708878219127655,4.4322114944458
21,0.18098246527684703,0.23262735774070023,0.0,0.11248163878917694,0.18141965568065643,4.484677505493164
22,0.18083270860684886,0.23255380975365636,0.0,0.11374033242464066,0.17130502462387084,4.4582854270935055
23,0.18077125782902176,0.23248307978332045,0.0,0.1176370233297348,0.18155820965766906,4.446614170074463
24,0.18105674192712112,0.23258698293596503,0.0,0.11978501081466675,0.18167406022548677,4.4314830780029295
25,0.1808898352287911,0.23252674472659826,0.0,0.12260615080595016,0.2060401111841202,4.38641128540039
26,0.1810308267941346,0.23240422300517558,0.0,0.12693147361278534,0.1875170052051544,4.415402126312256
27,0.18031991575215314,0.23225045959681273,0.0,0.13144360482692719,0.1891989976167679,4.422470474243164
28,0.18074444500175682,0.23248542746424672,0.0,0.13195271790027618,0.1726547360420227,4.427704906463623
29,0.18055116042897507,0.23242560831636191,0.0,0.13410690426826477,0.19613822996616365,4.360449695587159
30,0.18030637099936203,0.232171794257462,0.0,0.13845516741275787,0.17479576766490937,4.4259391784667965
31,0.18016229851825818,0.23219775557786226,0.0,0.13873428106307983,0.19174811542034148,4.375000476837158
32,0.18042289687169566,0.2320225097697973,0.0,0.14308741688728333,0.1830379545688629,4.386821746826172
33,0.1802950964586155,0.2319072954171896,0.0,0.1463869959115982,0.19047427773475648,4.401474666595459
34,0.18037919861239357,0.231935787255168,0.0,0.14969047904014587,0.19460862278938293,4.3506519317626955
35,0.17985045547420914,0.23209601262956858,0.0,0.15139494836330414,0.19682250916957855,4.376306533813477
36,0.17992477360609416,0.23198371864765885,0.0,0.1522674858570099,0.18772111237049102,4.386065196990967
37,0.17975797202136065,0.23177854987442492,0.0,0.15113583207130432,0.1970258891582489,4.347815704345703
38,0.17975840012769442,0.23170725607335568,0.0,0.15543358027935028,0.19470816254615783,4.343692016601563
39,0.17992765516848178,0.23175946730762723,0.0,0.1597125232219696,0.20295794904232026,4.344963645935058
40,0.17932208808692726,0.2316723003053665,0.0,0.16159075498580933,0.21247658729553223,4.313783168792725
41,0.1792477417636562,0.23153363608866928,0.0,0.1639927178621292,0.2153969258069992,4.315148830413818
42,0.1796770277055534,0.23150959001660346,0.0,0.16245704889297485,0.2074254870414734,4.311265182495117
43,0.17918997559998487,0.2314673933956027,0.0,0.16494235396385193,0.21746399700641633,4.288343143463135
44,0.1796529574974163,0.23142563255161047,0.0,0.16519008576869965,0.2110151916742325,4.2943493843078615
45,0.17991053010966326,0.23140175007551908,0.0,0.16727890074253082,0.21291148960590361,4.288541698455811
46,0.17950195275448463,0.2313349465379119,0.0,0.16539828479290009,0.21796440184116364,4.27565746307373
47,0.17904574564985326,0.23146875074326992,0.0,0.16771505773067474,0.2322027266025543,4.247856998443604
48,0.17867440992110484,0.23119702966630457,0.0,0.1702696681022644,0.22235198616981505,4.263829231262207
49,0.17953732972209518,0.23137273739397526,0.0,0.16859520971775055,0.23040665984153746,4.245647239685058
