epoch,train_loss,val_loss,gamma_rd,gamma_dr,res_mag,entropy
0,0.3552030992919001,0.3592746050789952,-0.022781671956181526,-0.026288850232958794,0.5500598400831223,5.402849435806274
1,0.3537608354256071,0.3586462097525597,-0.02721410244703293,-0.03575621917843819,0.5326845645904541,5.150756239891052
2,0.35284659677538377,0.35787128040939564,-0.03508352115750313,-0.045246683061122894,0.6382783502340317,4.955921530723572
3,0.3529499224547682,0.35723583324104546,-0.04066181182861328,-0.05003280192613602,0.6443338245153427,4.904755234718323
4,0.35208529336699124,0.35701517974287267,-0.04509500041604042,-0.05551746115088463,0.6232197135686874,4.849742531776428
5,0.3526008540186389,0.3567669851347804,-0.050743672996759415,-0.06355675309896469,0.5726389437913895,4.775261700153351
6,0.3514158479098616,0.35605398351699113,-0.05609802156686783,-0.06698156148195267,0.5160485953092575,4.774187624454498
7,0.3516674555581191,0.3555569080337882,-0.059818387031555176,-0.07418319582939148,0.5083999782800674,4.727533400058746
8,0.3498021384765362,0.3552791193559766,-0.06556481122970581,-0.07833779603242874,0.4827822893857956,4.688339829444885
9,0.3502132389052161,0.3551750235423446,-0.06855685263872147,-0.08305685967206955,0.4696322828531265,4.636324942111969
10,0.3494428889504794,0.3547494911119342,-0.07573318481445312,-0.08660362660884857,0.434092715382576,4.606782913208008
11,0.34914981291211883,0.3537061086587608,-0.07989222556352615,-0.09254676103591919,0.41967005282640457,4.554941892623901
12,0.3482912768577707,0.35359037000313404,-0.08224697411060333,-0.09780076891183853,0.4187893494963646,4.517455101013184
13,0.34855313444959707,0.35240454234033824,-0.08724085241556168,-0.10021797567605972,0.41291044652462006,4.500267803668976
14,0.3476553374323352,0.35227471288889645,-0.09126733243465424,-0.10577379167079926,0.42158396542072296,4.49644148349762
15,0.3469661700314489,0.35125814553573725,-0.09546636044979095,-0.11323879659175873,0.41654442995786667,4.484441459178925
16,0.3471565369901986,0.35053282774388794,-0.09729942679405212,-0.11338864266872406,0.38826993107795715,4.498543977737427
17,0.34635038416961145,0.350327298001945,-0.10420767217874527,-0.11839194595813751,0.4006926566362381,4.467077136039734
18,0.34578936983799113,0.35013717464357613,-0.10757408291101456,-0.12023651599884033,0.3752060979604721,4.454715549945831
19,0.34598977606872033,0.34924025459289554,-0.10891665518283844,-0.12626072764396667,0.3926830291748047,4.434293031692505
20,0.3448469751867755,0.348539612390101,-0.11363906413316727,-0.12793053686618805,0.3919830173254013,4.413784623146057
21,0.34482625640671827,0.34861482538804406,-0.11540212482213974,-0.1309310495853424,0.38923243433237076,4.391278445720673
22,0.34424917348499956,0.34861751299872995,-0.12064627557992935,-0.12950529158115387,0.3822493776679039,4.3768762946128845
23,0.34365383098865376,0.34828512325212363,-0.1209869459271431,-0.13497772812843323,0.37409818917512894,4.378411173820496
24,0.3436301998023329,0.34784147929921744,-0.12103819847106934,-0.1378263533115387,0.37394049018621445,4.3532843589782715
25,0.34266893925337955,0.348145876288414,-0.12504659593105316,-0.137349933385849,0.3764384984970093,4.3473533391952515
26,0.34402672175703375,0.34818651676028967,-0.12577995657920837,-0.13914145529270172,0.37504734098911285,4.319571495056152
27,0.3435194564276728,0.34757599291130903,-0.12585455179214478,-0.13952499628067017,0.37297040969133377,4.310908913612366
28,0.34340522309829447,0.34777800589650865,-0.12591268122196198,-0.1429269015789032,0.3703087717294693,4.305952787399292
29,0.3423311905614261,0.3471011782564223,-0.12969113886356354,-0.14470309019088745,0.38023801892995834,4.2836631536483765
30,0.34261079595006744,0.3475712036706507,-0.13073717057704926,-0.145047128200531,0.3713909611105919,4.282735228538513
31,0.34166690707206726,0.34714454451948407,-0.13006477057933807,-0.14705605804920197,0.3690978139638901,4.29558652639389
32,0.34312211131227427,0.34735991820693013,-0.13157495856285095,-0.148453488945961,0.3653004765510559,4.289419710636139
33,0.34208687420549067,0.34724610667228695,-0.1325719803571701,-0.15056142210960388,0.3637005090713501,4.270326852798462
34,0.341996221706785,0.34709241742640734,-0.13246217370033264,-0.14921577274799347,0.368381068110466,4.265119194984436
35,0.34179536330288857,0.3464596130602062,-0.13605034351348877,-0.14839768409729004,0.369540698826313,4.247677206993103
36,0.342075541101653,0.34631540855690834,-0.13602377474308014,-0.15011653304100037,0.37541181594133377,4.245460629463196
37,0.34137958699259263,0.34614466179013254,-0.13810233771800995,-0.15235017240047455,0.37461036443710327,4.238212525844574
38,0.3414027177054307,0.3461946837201714,-0.13694541156291962,-0.15368272364139557,0.36240409314632416,4.240469813346863
39,0.34098820850766937,0.34635989263653755,-0.13900822401046753,-0.15720003843307495,0.379692018032074,4.221683204174042
40,0.3405727291929311,0.34618450917154553,-0.13994787633419037,-0.1567143052816391,0.3607355207204819,4.233345806598663
41,0.34087367715506717,0.3460884556420148,-0.13915473222732544,-0.1596130132675171,0.35984789580106735,4.217646777629852
42,0.34098203017793854,0.34645740808993575,-0.14224405586719513,-0.15896186232566833,0.37087778747081757,4.210632741451263
43,0.34193884915318984,0.3460951992340386,-0.14318302273750305,-0.16023734211921692,0.358871154487133,4.219645202159882
44,0.341249157642496,0.3456751950308681,-0.14490212500095367,-0.16052569448947906,0.3718359023332596,4.189602494239807
45,0.34055617554434414,0.3461899791561067,-0.14420783519744873,-0.15975777804851532,0.3654913082718849,4.197795510292053
46,0.34035370987037133,0.34589495193511244,-0.14714176952838898,-0.16030007600784302,0.37062351405620575,4.187919080257416
47,0.3410600896539359,0.3460920754894614,-0.1474367380142212,-0.1607174575328827,0.3714076429605484,4.178328454494476
48,0.33997583594815484,0.34548857664763927,-0.14714744687080383,-0.15877105295658112,0.3655398190021515,4.178967475891113
49,0.3398624987437807,0.34600601405352355,-0.14842848479747772,-0.1639436036348343,0.36894674599170685,4.162714779376984
