category,image_auroc_max,image_auprc_max,image_auroc_topk_0.1pct,image_auprc_topk_0.1pct,image_auroc_topk_1pct,image_auprc_topk_1pct,pixel_auroc,pixel_auprc,aupro,num_test_images,num_anomalous,dev_latency_note,dev_latency_mean_ms,dev_latency_p50_ms,dev_latency_device
bagel,0.7329545454545454,0.912317572432177,0.7520661157024793,0.9189072898545675,0.7861570247933884,0.937448180915031,0.9580761494721464,0.12370598507432717,0.8399617375926635,110,88,"development-only forward timing, not deployment benchmark",19.61294599925168,18.7428499921225,cpu
cable_gland,0.8308702791461412,0.9211163630452123,0.9173508483853312,0.9595095298703786,0.9731800766283525,0.9907278103707488,0.8447520358081407,0.01699705761146797,0.5342946363172794,108,87,"development-only forward timing, not deployment benchmark",17.368798000534298,17.27690000552684,cpu
carrot,0.8038720538720538,0.9587633517970573,0.7937710437710439,0.9566491446654886,0.7300785634118968,0.9375562611580341,0.9403596027852292,0.12178620572460709,0.8219920782647171,159,132,"development-only forward timing, not deployment benchmark",18.65083099983167,18.4919000021182,cpu
cookie,0.4653259361997226,0.8044276210287069,0.4719140083217753,0.807090335195106,0.45977808599167824,0.8058916221152365,0.8405540869091765,0.10450780070285627,0.46216251784135876,131,103,"development-only forward timing, not deployment benchmark",18.00392399978591,18.017150010564364,cpu
dowel,0.5684171597633136,0.8232253078502099,0.540310650887574,0.8099086053163641,0.5177514792899408,0.8191898748933935,0.8687091426769682,0.020902917788531768,0.5747310734485065,130,104,"development-only forward timing, not deployment benchmark",20.13648900028784,19.97739999933401,cpu
foam,0.79,0.9308825254810239,0.819375,0.9388355077058321,0.793125,0.9220862031025174,0.8934026968634523,0.10853790432960327,0.7052654756659396,100,80,"development-only forward timing, not deployment benchmark",20.538378999190172,20.41960000497056,cpu
peach,0.3846153846153846,0.7501183101369022,0.39368650217706813,0.7554477701999351,0.45972423802612483,0.7786516259177838,0.9369573290542239,0.039562854817142404,0.7809290005024102,132,106,"development-only forward timing, not deployment benchmark",20.820182999887038,20.387149997986853,cpu
potato,0.41452569169960474,0.8146205079653146,0.40365612648221344,0.7929873036369426,0.4861660079051383,0.7873334647571103,0.9685434375146873,0.0452181579292304,0.8863392772761612,114,92,"development-only forward timing, not deployment benchmark",19.18926200043643,19.07270000083372,cpu
rope,0.8129528985507247,0.9020952269486885,0.823822463768116,0.9041284816920412,0.9673913043478262,0.9857194978163607,0.7837883928833482,0.09250874031543091,0.5300153609190817,101,69,"development-only forward timing, not deployment benchmark",17.962540000444278,17.74545000080252,cpu
tire,0.5972413793103448,0.8119604103902702,0.6041379310344828,0.8298644445559844,0.6882758620689655,0.8970727328642146,0.9144762932444164,0.02471697952721109,0.7189752327023867,112,87,"development-only forward timing, not deployment benchmark",18.7725840001076,18.39430000836728,cpu
MEAN,0.6400775328611836,0.8629527197075563,0.6520090690530085,0.8673328412692639,0.6861627642463312,0.8861677273910431,0.8949619167211788,0.06984446038204083,0.6854666390530505,1197,948,,,,
