category,image_auroc_max,image_auprc_max,image_auroc_topk_0.1pct,image_auprc_topk_0.1pct,image_auroc_topk_1pct,image_auprc_topk_1pct,pixel_auroc,pixel_auprc,aupro,num_test_images,num_anomalous,dev_latency_note,dev_latency_mean_ms,dev_latency_p50_ms,dev_latency_device
bagel,0.7195247933884298,0.8851702718790179,0.7567148760330578,0.8971236647493539,0.7649793388429753,0.911044569120087,0.7814344687534298,0.05704830778366479,0.5208606484959979,110,88,"development-only forward timing, not deployment benchmark",16.828935000230558,16.30260000092676,cpu
cable_gland,0.1658456486042693,0.6717446875693488,0.15982484948002193,0.6837540682945032,0.1959496442255063,0.6830083073235957,0.7875371234330513,0.00804175863947045,0.4873636072575629,108,87,"development-only forward timing, not deployment benchmark",17.509341999539174,17.77975000004517,cpu
carrot,0.5460157126823794,0.8258720170192942,0.5345117845117845,0.8232823235224713,0.5768799102132436,0.8558431163707667,0.7886150985734721,0.009217255225504798,0.5609065626327179,159,132,"development-only forward timing, not deployment benchmark",16.71925100046792,16.284850004012696,cpu
cookie,0.49375866851595007,0.7925923942053034,0.5395284327323162,0.8234640424541841,0.6099167822468793,0.8673020414724656,0.7920953144688367,0.13509143391912817,0.6419617586922135,131,103,"development-only forward timing, not deployment benchmark",16.826238999783527,16.35494999936782,cpu
dowel,0.5384615384615384,0.8346313921658695,0.5517751479289941,0.8399062054725249,0.6116863905325444,0.8661459028395567,0.8144694631916969,0.012928961449892293,0.4993659220823365,130,104,"development-only forward timing, not deployment benchmark",18.593488999613328,18.623800002387725,cpu
foam,0.480625,0.802097161576266,0.46437500000000004,0.7953406390623619,0.47937499999999994,0.8133910192397161,0.45108433979535906,0.001721213744699501,0.09956985818668394,100,80,"development-only forward timing, not deployment benchmark",17.25784500085865,16.97865000460297,cpu
peach,0.5555152394775036,0.847185380125166,0.6037735849056604,0.8656164720282585,0.6302612481857764,0.8729184136884731,0.7224537166425188,0.008426069758265748,0.3934543002728166,132,106,"development-only forward timing, not deployment benchmark",16.93043699953705,17.074700008379295,cpu
potato,0.6729249011857708,0.9072597910638076,0.7094861660079052,0.9198763469622622,0.6907114624505928,0.9051363178359364,0.719588728232035,0.011958001539425993,0.4569146046454442,114,92,"development-only forward timing, not deployment benchmark",16.7467740009306,16.676500003086403,cpu
rope,0.6616847826086957,0.791418084360969,0.6734601449275363,0.8115239820717182,0.7894021739130435,0.8957227181581889,0.8569909153174682,0.2373710207463697,0.7749214032383421,101,69,"development-only forward timing, not deployment benchmark",16.0492150002392,15.802050002093893,cpu
tire,0.5052873563218391,0.8077445865496655,0.5094252873563218,0.8127299641073207,0.5259770114942528,0.828109701571901,0.8279441523242747,0.007209042978127564,0.48234447805310965,112,87,"development-only forward timing, not deployment benchmark",17.23625400045421,16.735149998567067,cpu
MEAN,0.5339643641246375,0.8165715766514708,0.5502875273883598,0.827261770872496,0.5875138962104814,0.8498622107620687,0.7542213320732143,0.0489013065784549,0.4917663143557225,1197,948,,,,
