category,defect,n_normal,n_defect,static_auroc,validity_auroc,evidence_auroc
bagel,combined,22,23,0.8834,0.8933,0.8379
bagel,contamination,22,22,0.7913,0.7769,0.7066
bagel,crack,22,22,0.8905,0.9029,0.8843
bagel,hole,22,21,0.8268,0.8225,0.7576
cable_gland,bent,21,21,0.6599,0.7143,0.5692
cable_gland,cut,21,22,0.842,0.8939,0.697
cable_gland,hole,21,22,0.7143,0.7684,0.5844
cable_gland,thread,21,22,0.7771,0.8355,0.6515
carrot,combined,27,27,0.7284,0.727,0.5048
carrot,contamination,27,27,0.5336,0.535,0.4801
carrot,crack,27,26,0.6425,0.6439,0.6011
carrot,cut,27,26,0.7137,0.7137,0.5798
carrot,hole,27,26,0.8647,0.8675,0.5684
cookie,combined,28,25,0.7043,0.7043,0.6757
cookie,contamination,28,25,0.3143,0.2986,0.3643
cookie,crack,28,27,0.6402,0.6415,0.6508
cookie,hole,28,26,0.3571,0.3613,0.3283
dowel,bent,26,27,0.6781,0.6823,0.6239
dowel,combined,26,26,0.6893,0.6923,0.5577
dowel,contamination,26,26,0.5592,0.5577,0.5488
dowel,cut,26,25,0.5846,0.5831,0.6046
foam,color,20,20,0.8225,0.8225,0.8
foam,combined,20,20,0.74,0.7425,0.545
foam,contamination,20,20,0.74,0.74,0.4825
foam,cut,20,20,0.675,0.67,0.615
peach,combined,26,25,0.5338,0.5277,0.5938
peach,contamination,26,27,0.3718,0.3504,0.4687
peach,cut,26,25,0.4415,0.4262,0.5138
peach,hole,26,29,0.4682,0.4655,0.5053
potato,combined,22,23,0.5415,0.5356,0.5711
potato,contamination,22,23,0.5553,0.5494,0.5079
potato,cut,22,23,0.6304,0.6265,0.6087
potato,hole,22,23,0.7233,0.7174,0.7292
rope,contamination,32,25,0.645,0.6462,0.5975
rope,cut,32,27,0.8553,0.8553,0.6273
rope,open,32,17,0.7886,0.7886,0.8107
tire,combined,25,5,0.8,0.776,0.672
tire,contamination,25,28,0.5686,0.56,0.54
tire,cut,25,27,0.5793,0.5911,0.4815
tire,hole,25,27,0.5748,0.5719,0.4459
