category,subset,n,pearson,spearman
bagel,normal,22,-0.0659,0.0367
bagel,anomalous,88,0.28,0.314
cable_gland,normal,21,-0.0776,-0.1818
cable_gland,anomalous,87,0.0788,0.0822
carrot,normal,27,-0.0755,-0.1764
carrot,anomalous,132,0.0158,0.0175
cookie,normal,28,-0.0768,-0.0974
cookie,anomalous,103,0.1613,0.1997
dowel,normal,26,0.2022,0.1966
dowel,anomalous,104,-0.041,-0.0647
foam,normal,20,0.0663,-0.0361
foam,anomalous,80,-0.0679,-0.0869
peach,normal,26,0.0169,-0.079
peach,anomalous,106,-0.2913,-0.2843
potato,normal,22,-0.0565,-0.0864
potato,anomalous,92,-0.2511,-0.2452
rope,normal,32,-0.2094,-0.2419
rope,anomalous,69,0.5711,0.4893
tire,normal,25,0.1675,0.2546
tire,anomalous,87,-0.0138,0.0566
