category,static_image_auroc_max,static_image_auprc_max,static_image_auroc_topk1,static_pixel_auroc,static_pixel_auprc,static_aupro,validity_image_auroc_max,validity_image_auprc_max,validity_image_auroc_topk1,validity_pixel_auroc,validity_pixel_auprc,validity_aupro,evidence_image_auroc_max,evidence_image_auprc_max,evidence_image_auroc_topk1,evidence_pixel_auroc,evidence_pixel_auprc,evidence_aupro
bagel,0.8486570247933883,0.945088324791475,0.8584710743801652,0.9527225234242552,0.1846434133639278,0.7868633482465047,0.8496900826446282,0.9486834334113778,0.8641528925619835,0.9580609997900611,0.20088639704447783,0.8082545809706332,0.7975206611570248,0.9204723634515044,0.7401859504132232,0.9707721540551638,0.2191908491872307,0.8628739332793061
cable_gland,0.7493158182813354,0.9333734602987003,1.0,0.7790155024077974,0.005577239207683758,0.3391773201797053,0.8040503557744937,0.949870522704187,1.0,0.8130062779138907,0.0067853319019154125,0.4270466527313708,0.6261631089217297,0.8442020892294139,1.0,0.8200603224139014,0.010378562490157325,0.4697254089404479
carrot,0.6955667789001123,0.9179909102636322,0.6851851851851852,0.9394113005834469,0.06526165699853444,0.8205416934899699,0.6964085297418632,0.9191389235995411,0.686026936026936,0.9395989810838086,0.06590973119289438,0.8210405612230446,0.5460157126823794,0.835492291904208,0.5726711560044893,0.8972339381279866,0.040206761047573474,0.7312040470822359
cookie,0.5052011095700416,0.8200705515746467,0.7565880721220527,0.9238815233906925,0.25837638088655585,0.7136956355432722,0.5027739251040222,0.8190680909610868,0.7486130374479889,0.9217015800391024,0.25483277768132667,0.7037422588122701,0.5058945908460472,0.8262162528846879,0.6886269070735089,0.9198939825184412,0.2305087407216309,0.6979781320399615
dowel,0.6286982248520709,0.8809507874798876,0.6024408284023668,0.8900531324079574,0.01990518696054967,0.6229046113571239,0.6298076923076923,0.8811480111814902,0.6020710059171598,0.8901353790618871,0.019928478496432096,0.6231312567160334,0.5839497041420117,0.8519862883835919,0.5913461538461537,0.8726996300533332,0.018318223304130198,0.5815650565202801
foam,0.744375,0.9028854399981457,0.753125,0.8435852737403786,0.029039907178363925,0.5969668989928795,0.74375,0.9028634761852619,0.75875,0.8474376326486356,0.03233395919593696,0.6054535021832425,0.6106250000000001,0.8759092351083526,0.555625,0.8012614959162196,0.07910229371879236,0.527244396546644
peach,0.4528301886792453,0.7742449089555701,0.5602322206095791,0.9184746987370122,0.029210032224120157,0.7185418280919191,0.44158200290275756,0.7677251713935441,0.5435413642960812,0.9252797489390692,0.032188359685471304,0.7375955286001251,0.5188679245283019,0.816269553562498,0.5616835994194485,0.8967841219526029,0.02838825829821349,0.6876450308052295
potato,0.6126482213438734,0.884068624170199,0.692193675889328,0.82113935434819,0.01888535288559637,0.5914997961599016,0.6072134387351779,0.8819361400231671,0.6951581027667983,0.8274447003484563,0.01951085723581933,0.6007681827542826,0.6042490118577075,0.8825579492841462,0.633399209486166,0.9059141951493774,0.03261757398075804,0.7410089154721156
rope,0.7626811594202898,0.8792018016923348,0.9596920289855073,0.8857164595150697,0.15268356781705889,0.659118679178557,0.7631340579710145,0.8793562145924296,0.9592391304347827,0.8851609372090031,0.15217363883629959,0.6582888298005519,0.6616847826086957,0.791418084360969,0.7880434782608696,0.9539335620279437,0.2422456809134427,0.8191597282670772
tire,0.5871264367816091,0.8146072114827185,0.648735632183908,0.9295421376196374,0.03241912330413142,0.752388106465217,0.5857471264367815,0.8122928532388157,0.6570114942528735,0.9288547124238172,0.0318978927603824,0.7513661309599721,0.5002298850574713,0.8000007241243832,0.5204597701149425,0.8871103691358239,0.012692854109380312,0.5928996227775742
