category,metric,rule,RGB,Depth,FixedMean,Rule,d_vs_BestSingle,d_vs_FixedMean,oracle_I-AUROC
bagel,I-AUROC(max),Static,0.733,0.7195,0.8729,0.8487,0.1157,-0.0242,0.9644
bagel,I-AUROC(max),Validity,0.733,0.7195,0.8729,0.8497,0.1167,-0.0232,0.9644
bagel,I-AUROC(max),Evidence,0.733,0.7195,0.8729,0.7975,0.0646,-0.0754,0.9644
bagel,I-AUROC(topk1%),Static,0.7862,0.765,0.9267,0.8585,0.0723,-0.0682,
bagel,I-AUROC(topk1%),Validity,0.7862,0.765,0.9267,0.8642,0.078,-0.0625,
bagel,I-AUROC(topk1%),Evidence,0.7862,0.765,0.9267,0.7402,-0.046,-0.1865,
bagel,P-AUROC,Static,0.9581,0.7814,0.978,0.9527,-0.0054,-0.0253,
bagel,P-AUROC,Validity,0.9581,0.7814,0.978,0.9581,-0.0,-0.0199,
bagel,P-AUROC,Evidence,0.9581,0.7814,0.978,0.9708,0.0127,-0.0072,
bagel,AUPRO,Static,0.84,0.5209,0.8966,0.7869,-0.0531,-0.1097,
bagel,AUPRO,Validity,0.84,0.5209,0.8966,0.8083,-0.0317,-0.0883,
bagel,AUPRO,Evidence,0.84,0.5209,0.8966,0.8629,0.0229,-0.0337,
cable_gland,I-AUROC(max),Static,0.8309,0.1658,0.8019,0.7493,-0.0816,-0.0526,0.9584
cable_gland,I-AUROC(max),Validity,0.8309,0.1658,0.8019,0.8041,-0.0268,0.0022,0.9584
cable_gland,I-AUROC(max),Evidence,0.8309,0.1658,0.8019,0.6262,-0.2047,-0.1757,0.9584
cable_gland,I-AUROC(topk1%),Static,0.9732,0.1959,1.0,1.0,0.0268,0.0,
cable_gland,I-AUROC(topk1%),Validity,0.9732,0.1959,1.0,1.0,0.0268,0.0,
cable_gland,I-AUROC(topk1%),Evidence,0.9732,0.1959,1.0,1.0,0.0268,0.0,
cable_gland,P-AUROC,Static,0.8448,0.7875,0.8064,0.779,-0.0657,-0.0274,
cable_gland,P-AUROC,Validity,0.8448,0.7875,0.8064,0.813,-0.0317,0.0066,
cable_gland,P-AUROC,Evidence,0.8448,0.7875,0.8064,0.8201,-0.0247,0.0137,
cable_gland,AUPRO,Static,0.5343,0.4874,0.4087,0.3392,-0.1951,-0.0695,
cable_gland,AUPRO,Validity,0.5343,0.4874,0.4087,0.427,-0.1072,0.0183,
cable_gland,AUPRO,Evidence,0.5343,0.4874,0.4087,0.4697,-0.0646,0.061,
carrot,I-AUROC(max),Static,0.8039,0.546,0.6958,0.6956,-0.1083,-0.0002,1.0
carrot,I-AUROC(max),Validity,0.8039,0.546,0.6958,0.6964,-0.1075,0.0006,1.0
carrot,I-AUROC(max),Evidence,0.8039,0.546,0.6958,0.546,-0.2579,-0.1498,1.0
carrot,I-AUROC(topk1%),Static,0.7301,0.5769,0.6843,0.6852,-0.0449,0.0009,
carrot,I-AUROC(topk1%),Validity,0.7301,0.5769,0.6843,0.686,-0.0441,0.0017,
carrot,I-AUROC(topk1%),Evidence,0.7301,0.5769,0.6843,0.5727,-0.1574,-0.1116,
carrot,P-AUROC,Static,0.9404,0.7886,0.9391,0.9394,-0.0009,0.0003,
carrot,P-AUROC,Validity,0.9404,0.7886,0.9391,0.9396,-0.0008,0.0005,
carrot,P-AUROC,Evidence,0.9404,0.7886,0.9391,0.8972,-0.0431,-0.0419,
carrot,AUPRO,Static,0.822,0.5609,0.8197,0.8205,-0.0015,0.0008,
carrot,AUPRO,Validity,0.822,0.5609,0.8197,0.821,-0.001,0.0013,
carrot,AUPRO,Evidence,0.822,0.5609,0.8197,0.7312,-0.0908,-0.0885,
cookie,I-AUROC(max),Static,0.4653,0.4938,0.5132,0.5052,0.0114,-0.008,0.9102
cookie,I-AUROC(max),Validity,0.4653,0.4938,0.5132,0.5028,0.009,-0.0104,0.9102
cookie,I-AUROC(max),Evidence,0.4653,0.4938,0.5132,0.5059,0.0121,-0.0073,0.9102
cookie,I-AUROC(topk1%),Static,0.4598,0.6099,0.759,0.7566,0.1467,-0.0024,
cookie,I-AUROC(topk1%),Validity,0.4598,0.6099,0.759,0.7486,0.1387,-0.0104,
cookie,I-AUROC(topk1%),Evidence,0.4598,0.6099,0.759,0.6886,0.0787,-0.0704,
cookie,P-AUROC,Static,0.8406,0.7921,0.9269,0.9239,0.0833,-0.003,
cookie,P-AUROC,Validity,0.8406,0.7921,0.9269,0.9217,0.0811,-0.0052,
cookie,P-AUROC,Evidence,0.8406,0.7921,0.9269,0.9199,0.0793,-0.007,
cookie,AUPRO,Static,0.4622,0.642,0.7281,0.7137,0.0717,-0.0144,
cookie,AUPRO,Validity,0.4622,0.642,0.7281,0.7037,0.0618,-0.0244,
cookie,AUPRO,Evidence,0.4622,0.642,0.7281,0.698,0.056,-0.0301,
dowel,I-AUROC(max),Static,0.5684,0.5385,0.6376,0.6287,0.0603,-0.0089,0.8813
dowel,I-AUROC(max),Validity,0.5684,0.5385,0.6376,0.6298,0.0614,-0.0078,0.8813
dowel,I-AUROC(max),Evidence,0.5684,0.5385,0.6376,0.5839,0.0155,-0.0537,0.8813
dowel,I-AUROC(topk1%),Static,0.5178,0.6117,0.5936,0.6024,-0.0092,0.0088,
dowel,I-AUROC(topk1%),Validity,0.5178,0.6117,0.5936,0.6021,-0.0096,0.0085,
dowel,I-AUROC(topk1%),Evidence,0.5178,0.6117,0.5936,0.5913,-0.0203,-0.0023,
dowel,P-AUROC,Static,0.8687,0.8145,0.8909,0.8901,0.0213,-0.0008,
dowel,P-AUROC,Validity,0.8687,0.8145,0.8909,0.8901,0.0214,-0.0008,
dowel,P-AUROC,Evidence,0.8687,0.8145,0.8909,0.8727,0.004,-0.0182,
dowel,AUPRO,Static,0.5747,0.4994,0.6252,0.6229,0.0482,-0.0023,
dowel,AUPRO,Validity,0.5747,0.4994,0.6252,0.6231,0.0484,-0.0021,
dowel,AUPRO,Evidence,0.5747,0.4994,0.6252,0.5816,0.0068,-0.0436,
foam,I-AUROC(max),Static,0.79,0.4806,0.7438,0.7444,-0.0456,0.0006,0.93
foam,I-AUROC(max),Validity,0.79,0.4806,0.7438,0.7438,-0.0463,-0.0,0.93
foam,I-AUROC(max),Evidence,0.79,0.4806,0.7438,0.6106,-0.1794,-0.1332,0.93
foam,I-AUROC(topk1%),Static,0.7931,0.4794,0.7419,0.7531,-0.04,0.0112,
foam,I-AUROC(topk1%),Validity,0.7931,0.4794,0.7419,0.7588,-0.0344,0.0169,
foam,I-AUROC(topk1%),Evidence,0.7931,0.4794,0.7419,0.5556,-0.2375,-0.1863,
foam,P-AUROC,Static,0.8934,0.4511,0.8389,0.8436,-0.0498,0.0047,
foam,P-AUROC,Validity,0.8934,0.4511,0.8389,0.8474,-0.046,0.0085,
foam,P-AUROC,Evidence,0.8934,0.4511,0.8389,0.8013,-0.0921,-0.0376,
foam,AUPRO,Static,0.7053,0.0996,0.5867,0.597,-0.1083,0.0103,
foam,AUPRO,Validity,0.7053,0.0996,0.5867,0.6055,-0.0998,0.0188,
foam,AUPRO,Evidence,0.7053,0.0996,0.5867,0.5272,-0.178,-0.0595,
peach,I-AUROC(max),Static,0.3846,0.5555,0.4216,0.4528,-0.1027,0.0312,0.8454
peach,I-AUROC(max),Validity,0.3846,0.5555,0.4216,0.4416,-0.1139,0.02,0.8454
peach,I-AUROC(max),Evidence,0.3846,0.5555,0.4216,0.5189,-0.0366,0.0973,0.8454
peach,I-AUROC(topk1%),Static,0.4597,0.6303,0.5033,0.5602,-0.07,0.0569,
peach,I-AUROC(topk1%),Validity,0.4597,0.6303,0.5033,0.5435,-0.0867,0.0402,
peach,I-AUROC(topk1%),Evidence,0.4597,0.6303,0.5033,0.5617,-0.0686,0.0584,
peach,P-AUROC,Static,0.937,0.7225,0.9374,0.9185,-0.0185,-0.0189,
peach,P-AUROC,Validity,0.937,0.7225,0.9374,0.9253,-0.0117,-0.0121,
peach,P-AUROC,Evidence,0.937,0.7225,0.9374,0.8968,-0.0402,-0.0406,
peach,AUPRO,Static,0.7809,0.3935,0.7743,0.7185,-0.0624,-0.0558,
peach,AUPRO,Validity,0.7809,0.3935,0.7743,0.7376,-0.0433,-0.0367,
peach,AUPRO,Evidence,0.7809,0.3935,0.7743,0.6876,-0.0933,-0.0867,
potato,I-AUROC(max),Static,0.4145,0.6729,0.4634,0.6126,-0.0603,0.1492,0.996
potato,I-AUROC(max),Validity,0.4145,0.6729,0.4634,0.6072,-0.0657,0.1438,0.996
potato,I-AUROC(max),Evidence,0.4145,0.6729,0.4634,0.6042,-0.0687,0.1408,0.996
potato,I-AUROC(topk1%),Static,0.4862,0.6907,0.6546,0.6922,0.0015,0.0376,
potato,I-AUROC(topk1%),Validity,0.4862,0.6907,0.6546,0.6952,0.0044,0.0406,
potato,I-AUROC(topk1%),Evidence,0.4862,0.6907,0.6546,0.6334,-0.0573,-0.0212,
potato,P-AUROC,Static,0.9685,0.7196,0.9478,0.8211,-0.1474,-0.1267,
potato,P-AUROC,Validity,0.9685,0.7196,0.9478,0.8274,-0.1411,-0.1204,
potato,P-AUROC,Evidence,0.9685,0.7196,0.9478,0.9059,-0.0626,-0.0419,
potato,AUPRO,Static,0.8863,0.4569,0.8198,0.5915,-0.2948,-0.2283,
potato,AUPRO,Validity,0.8863,0.4569,0.8198,0.6008,-0.2856,-0.219,
potato,AUPRO,Evidence,0.8863,0.4569,0.8198,0.741,-0.1453,-0.0788,
rope,I-AUROC(max),Static,0.813,0.6617,0.6902,0.7627,-0.0503,0.0725,0.9805
rope,I-AUROC(max),Validity,0.813,0.6617,0.6902,0.7631,-0.0498,0.0729,0.9805
rope,I-AUROC(max),Evidence,0.813,0.6617,0.6902,0.6617,-0.1513,-0.0285,0.9805
rope,I-AUROC(topk1%),Static,0.9674,0.7894,0.8813,0.9597,-0.0077,0.0784,
rope,I-AUROC(topk1%),Validity,0.9674,0.7894,0.8813,0.9592,-0.0082,0.0779,
