category,defect,n_normal,n_defect,e3c_auroc
bagel,combined,22,23,0.7984
bagel,contamination,22,22,0.6715
bagel,crack,22,22,0.8347
bagel,hole,22,21,0.6667
cable_gland,bent,21,21,0.6939
cable_gland,cut,21,22,0.6905
cable_gland,hole,21,22,0.7944
cable_gland,thread,21,22,0.697
carrot,combined,27,27,0.7805
carrot,contamination,27,27,0.6612
carrot,crack,27,26,0.735
carrot,cut,27,26,0.6809
carrot,hole,27,26,0.9074
cookie,combined,28,25,0.6
cookie,contamination,28,25,0.2414
cookie,crack,28,27,0.5476
cookie,hole,28,26,0.4107
dowel,bent,26,27,0.6225
dowel,combined,26,26,0.6731
dowel,contamination,26,26,0.5843
dowel,cut,26,25,0.4938
foam,color,20,20,0.8875
foam,combined,20,20,0.745
foam,contamination,20,20,0.735
foam,cut,20,20,0.7075
peach,combined,26,25,0.4308
peach,contamination,26,27,0.453
peach,cut,26,25,0.4585
peach,hole,26,29,0.3833
potato,combined,22,23,0.3597
potato,contamination,22,23,0.3221
potato,cut,22,23,0.4585
potato,hole,22,23,0.5356
rope,contamination,32,25,0.5162
rope,cut,32,27,0.5671
rope,open,32,17,0.6654
tire,combined,25,5,0.784
tire,contamination,25,28,0.6457
tire,cut,25,27,0.6
tire,hole,25,27,0.52
