category,image_auroc_max,image_auprc_max,image_auroc_topk1,pixel_auroc,pixel_auprc,aupro,num_test_images,num_anomalous
bagel,0.7443181818181819,0.9138916595099709,0.7355371900826446,0.9642654225224379,0.1518551798865809,0.8576778104147694,110,88
cable_gland,0.7192118226600985,0.8924649229272802,0.9813902572523262,0.7977781198691465,0.011528108683420546,0.469223867110583,108,87
carrot,0.7525252525252525,0.9411076327906378,0.7037037037037037,0.9369126371976476,0.0687714395137706,0.8048176580245597,159,132
cookie,0.45145631067961167,0.8002957626504728,0.573509015256588,0.8714163626294206,0.14247288803539634,0.5362255179599763,131,103
dowel,0.5946745562130178,0.8323561804011053,0.4918639053254438,0.8727374198265222,0.020933677525356572,0.5806580817619147,130,104
foam,0.7687499999999999,0.9242051733235954,0.788125,0.8612606188862679,0.08570130710864086,0.66329294075502,100,80
peach,0.4299709724238026,0.769781153159877,0.4829462989840349,0.9400682327412855,0.04382767627632682,0.7898549996229824,132,106
potato,0.4189723320158102,0.8166483929029944,0.48863636363636365,0.9664947731234994,0.043299939326592124,0.8804735854906017,114,92
rope,0.5729166666666667,0.7581963483124147,0.7948369565217391,0.9457257556337675,0.18600448987396687,0.7974893875299347,101,69
tire,0.6004597701149426,0.8219796476745098,0.6685057471264368,0.9156720666154247,0.023703461578393398,0.7094850873046583,112,87
