category,metric,RGB,Depth,FixedMean,BestE3B,E3C,d_vs_BestSingle,d_vs_FixedMean,d_vs_BestE3B
bagel,I-AUROC(max),0.733,0.7195,0.8729,0.8497,0.7443,0.0114,-0.1286,-0.1054
bagel,I-AUROC(topk1%),0.7862,0.765,0.9267,0.8642,0.7355,-0.0506,-0.1912,-0.1287
bagel,P-AUROC,0.9581,0.7814,0.978,0.9708,0.9643,0.0062,-0.0137,-0.0065
bagel,AUPRO,0.84,0.5209,0.8966,0.8629,0.8577,0.0177,-0.0389,-0.0052
cable_gland,I-AUROC(max),0.8309,0.1658,0.8019,0.8041,0.7192,-0.1117,-0.0827,-0.0849
cable_gland,I-AUROC(topk1%),0.9732,0.1959,1.0,1.0,0.9814,0.0082,-0.0186,-0.0186
cable_gland,P-AUROC,0.8448,0.7875,0.8064,0.8201,0.7978,-0.047,-0.0086,-0.0223
cable_gland,AUPRO,0.5343,0.4874,0.4087,0.4697,0.4692,-0.0651,0.0605,-0.0005
carrot,I-AUROC(max),0.8039,0.546,0.6958,0.6964,0.7525,-0.0513,0.0567,0.0561
carrot,I-AUROC(topk1%),0.7301,0.5769,0.6843,0.686,0.7037,-0.0264,0.0194,0.0177
carrot,P-AUROC,0.9404,0.7886,0.9391,0.9396,0.9369,-0.0034,-0.0022,-0.0027
carrot,AUPRO,0.822,0.5609,0.8197,0.821,0.8048,-0.0172,-0.0149,-0.0162
cookie,I-AUROC(max),0.4653,0.4938,0.5132,0.5059,0.4515,-0.0423,-0.0617,-0.0544
cookie,I-AUROC(topk1%),0.4598,0.6099,0.759,0.7566,0.5735,-0.0364,-0.1855,-0.1831
cookie,P-AUROC,0.8406,0.7921,0.9269,0.9239,0.8714,0.0309,-0.0555,-0.0525
cookie,AUPRO,0.4622,0.642,0.7281,0.7137,0.5362,-0.1057,-0.1919,-0.1775
dowel,I-AUROC(max),0.5684,0.5385,0.6376,0.6298,0.5947,0.0263,-0.0429,-0.0351
dowel,I-AUROC(topk1%),0.5178,0.6117,0.5936,0.6024,0.4919,-0.1198,-0.1017,-0.1105
dowel,P-AUROC,0.8687,0.8145,0.8909,0.8901,0.8727,0.004,-0.0182,-0.0174
dowel,AUPRO,0.5747,0.4994,0.6252,0.6231,0.5807,0.0059,-0.0445,-0.0424
foam,I-AUROC(max),0.79,0.4806,0.7438,0.7444,0.7687,-0.0213,0.0249,0.0243
foam,I-AUROC(topk1%),0.7931,0.4794,0.7419,0.7588,0.7881,-0.005,0.0462,0.0293
foam,P-AUROC,0.8934,0.4511,0.8389,0.8474,0.8613,-0.0321,0.0224,0.0139
foam,AUPRO,0.7053,0.0996,0.5867,0.6055,0.6633,-0.042,0.0766,0.0578
peach,I-AUROC(max),0.3846,0.5555,0.4216,0.5189,0.43,-0.1255,0.0084,-0.0889
peach,I-AUROC(topk1%),0.4597,0.6303,0.5033,0.5617,0.4829,-0.1473,-0.0204,-0.0788
peach,P-AUROC,0.937,0.7225,0.9374,0.9253,0.9401,0.0031,0.0027,0.0148
peach,AUPRO,0.7809,0.3935,0.7743,0.7376,0.7899,0.0089,0.0156,0.0523
potato,I-AUROC(max),0.4145,0.6729,0.4634,0.6126,0.419,-0.254,-0.0444,-0.1936
potato,I-AUROC(topk1%),0.4862,0.6907,0.6546,0.6952,0.4886,-0.2021,-0.166,-0.2066
potato,P-AUROC,0.9685,0.7196,0.9478,0.9059,0.9665,-0.002,0.0187,0.0606
potato,AUPRO,0.8863,0.4569,0.8198,0.741,0.8805,-0.0059,0.0607,0.1395
rope,I-AUROC(max),0.813,0.6617,0.6902,0.7631,0.5729,-0.24,-0.1173,-0.1902
rope,I-AUROC(topk1%),0.9674,0.7894,0.8813,0.9597,0.7948,-0.1726,-0.0865,-0.1649
rope,P-AUROC,0.7838,0.857,0.9603,0.9539,0.9457,0.0887,-0.0146,-0.0082
rope,AUPRO,0.53,0.7749,0.8449,0.8192,0.7975,0.0226,-0.0474,-0.0217
tire,I-AUROC(max),0.5972,0.5053,0.5591,0.5871,0.6005,0.0032,0.0414,0.0134
tire,I-AUROC(topk1%),0.6883,0.526,0.5761,0.657,0.6685,-0.0198,0.0924,0.0115
tire,P-AUROC,0.9145,0.8279,0.9227,0.9295,0.9157,0.0012,-0.007,-0.0138
tire,AUPRO,0.719,0.4823,0.7199,0.7524,0.7095,-0.0095,-0.0104,-0.0429
MEAN,I-AUROC(max),0.6401,0.534,0.64,0.6712,0.6053,-0.0348,-0.0346,-0.0659
MEAN,I-AUROC(topk1%),0.6862,0.5875,0.7321,0.7542,0.6709,-0.0153,-0.0612,-0.0833
MEAN,P-AUROC,0.895,0.7542,0.9148,0.9107,0.9072,0.0123,-0.0076,-0.0034
MEAN,AUPRO,0.6855,0.4918,0.7224,0.7146,0.7089,0.0235,-0.0135,-0.0057
