category,weight,mean,std,p5,p50,p95
bagel,w_img_rgb,0.8769,0.1442,0.5573,0.95,0.95
bagel,w_img_depth,0.1231,0.1442,0.05,0.05,0.4427
bagel,w_map_rgb,0.872,0.1301,0.6136,0.9299,0.95
bagel,w_map_depth,0.128,0.1301,0.05,0.0701,0.3864
bagel,mean_abs_img_minus_map_rgb,0.1193,,,,
cable_gland,w_img_rgb,0.8471,0.2504,0.0726,0.95,0.95
cable_gland,w_img_depth,0.1529,0.2504,0.05,0.05,0.9274
cable_gland,w_map_rgb,0.7922,0.2639,0.1261,0.9423,0.95
cable_gland,w_map_depth,0.2078,0.2639,0.05,0.0577,0.8739
cable_gland,mean_abs_img_minus_map_rgb,0.1061,,,,
carrot,w_img_rgb,0.5951,0.422,0.05,0.9459,0.95
carrot,w_img_depth,0.4049,0.422,0.05,0.0541,0.95
carrot,w_map_rgb,0.6741,0.3128,0.0575,0.809,0.95
carrot,w_map_depth,0.3259,0.3128,0.05,0.191,0.9425
carrot,mean_abs_img_minus_map_rgb,0.2996,,,,
cookie,w_img_rgb,0.8747,0.1967,0.4241,0.95,0.95
cookie,w_img_depth,0.1253,0.1967,0.05,0.05,0.5759
cookie,w_map_rgb,0.8395,0.1331,0.5746,0.9203,0.95
cookie,w_map_depth,0.1605,0.1331,0.05,0.0797,0.4254
cookie,mean_abs_img_minus_map_rgb,0.1682,,,,
dowel,w_img_rgb,0.7399,0.344,0.0501,0.9498,0.95
dowel,w_img_depth,0.2601,0.344,0.05,0.0502,0.9499
dowel,w_map_rgb,0.6485,0.3242,0.0503,0.7843,0.95
dowel,w_map_depth,0.3515,0.3242,0.05,0.2157,0.9497
dowel,mean_abs_img_minus_map_rgb,0.339,,,,
foam,w_img_rgb,0.8026,0.2642,0.0503,0.95,0.95
foam,w_img_depth,0.1974,0.2642,0.05,0.05,0.9497
foam,w_map_rgb,0.8658,0.1733,0.5776,0.9409,0.95
foam,w_map_depth,0.1342,0.1733,0.05,0.0591,0.4224
foam,mean_abs_img_minus_map_rgb,0.1201,,,,
peach,w_img_rgb,0.8728,0.2145,0.2807,0.95,0.95
peach,w_img_depth,0.1272,0.2145,0.05,0.05,0.7193
peach,w_map_rgb,0.9312,0.0874,0.8809,0.95,0.95
peach,w_map_depth,0.0688,0.0874,0.05,0.05,0.1191
peach,mean_abs_img_minus_map_rgb,0.078,,,,
potato,w_img_rgb,0.9045,0.1859,0.727,0.95,0.95
potato,w_img_depth,0.0955,0.1859,0.05,0.05,0.273
potato,w_map_rgb,0.875,0.128,0.641,0.933,0.95
potato,w_map_depth,0.125,0.128,0.05,0.067,0.359
potato,mean_abs_img_minus_map_rgb,0.0784,,,,
rope,w_img_rgb,0.2817,0.3935,0.05,0.05,0.95
rope,w_img_depth,0.7183,0.3935,0.05,0.95,0.95
rope,w_map_rgb,0.2868,0.3918,0.05,0.05,0.95
rope,w_map_depth,0.7132,0.3918,0.05,0.95,0.95
rope,mean_abs_img_minus_map_rgb,0.0051,,,,
tire,w_img_rgb,0.7261,0.3426,0.0505,0.9366,0.95
tire,w_img_depth,0.2739,0.3426,0.05,0.0634,0.9495
tire,w_map_rgb,0.7233,0.2563,0.1861,0.8428,0.95
tire,w_map_depth,0.2767,0.2563,0.05,0.1572,0.8139
tire,mean_abs_img_minus_map_rgb,0.2754,,,,
