category,method,auroc,ci_lo,ci_hi
bagel,rgb,0.7316,0.5972,0.8441
bagel,depth,0.7198,0.5838,0.8422
bagel,fused_mean,0.8703,0.7867,0.9335
bagel,diff_fused-rgb,0.1387,0.0328,0.2569
bagel,diff_fused-depth,0.1483,0.0108,0.3017
cable_gland,rgb,0.8294,0.7062,0.9265
cable_gland,depth,0.1674,0.1,0.2431
cable_gland,fused_mean,0.8017,0.7125,0.8853
cable_gland,diff_fused-rgb,-0.0277,-0.1432,0.1062
cable_gland,diff_fused-depth,0.6329,0.5257,0.7253
carrot,rgb,0.8032,0.7281,0.8721
carrot,depth,0.5439,0.4138,0.6775
carrot,fused_mean,0.6943,0.5925,0.791
carrot,diff_fused-rgb,-0.1089,-0.2027,-0.0174
carrot,diff_fused-depth,0.1499,0.0457,0.2545
cookie,rgb,0.4697,0.3515,0.5861
cookie,depth,0.4958,0.3709,0.6185
cookie,fused_mean,0.5171,0.4113,0.6274
cookie,diff_fused-rgb,0.0474,-0.0662,0.165
cookie,diff_fused-depth,0.0188,-0.1431,0.1797
dowel,rgb,0.5724,0.4386,0.7089
dowel,depth,0.5387,0.4101,0.662
dowel,fused_mean,0.6378,0.5245,0.7458
dowel,diff_fused-rgb,0.0654,-0.0796,0.1997
dowel,diff_fused-depth,0.0974,-0.0157,0.2067
foam,rgb,0.7898,0.6579,0.8979
foam,depth,0.4822,0.3404,0.6251
foam,fused_mean,0.7428,0.5889,0.8691
foam,diff_fused-rgb,-0.047,-0.1037,0.01
foam,diff_fused-depth,0.2596,0.0606,0.4481
peach,rgb,0.3846,0.267,0.5013
peach,depth,0.5577,0.438,0.6859
peach,fused_mean,0.424,0.3031,0.5485
peach,diff_fused-rgb,0.0394,-0.0807,0.1637
peach,diff_fused-depth,-0.1356,-0.292,0.0292
potato,rgb,0.4148,0.3137,0.5248
potato,depth,0.6729,0.5603,0.7835
potato,fused_mean,0.4647,0.3479,0.5847
potato,diff_fused-rgb,0.05,-0.0369,0.134
potato,diff_fused-depth,-0.2117,-0.3679,-0.0723
rope,rgb,0.8115,0.7169,0.8991
rope,depth,0.6627,0.5464,0.7758
rope,fused_mean,0.6898,0.5731,0.7955
rope,diff_fused-rgb,-0.1217,-0.2476,0.0056
rope,diff_fused-depth,0.0284,-0.0424,0.1026
tire,rgb,0.5948,0.4574,0.7191
tire,depth,0.5035,0.3709,0.6288
tire,fused_mean,0.5549,0.4342,0.6723
tire,diff_fused-rgb,-0.0398,-0.1838,0.1076
tire,diff_fused-depth,0.0522,-0.0891,0.1775
