sample_id,category,label,class
bagel/test/combined/000,bagel,1,C_both_correct
bagel/test/combined/001,bagel,1,B_depth_only+E_fixes_rgb
bagel/test/combined/002,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/combined/003,bagel,1,C_both_correct
bagel/test/combined/004,bagel,1,B_depth_only+E_fixes_rgb
bagel/test/combined/005,bagel,1,A_rgb_only+G_breaks
bagel/test/combined/006,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/combined/007,bagel,1,D_both_wrong
bagel/test/combined/008,bagel,1,D_both_wrong
bagel/test/combined/009,bagel,1,D_both_wrong
bagel/test/combined/010,bagel,1,C_both_correct
bagel/test/combined/011,bagel,1,B_depth_only+E_fixes_rgb
bagel/test/combined/012,bagel,1,C_both_correct
bagel/test/combined/013,bagel,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
bagel/test/combined/014,bagel,1,C_both_correct
bagel/test/combined/015,bagel,1,A_rgb_only+G_breaks
bagel/test/combined/016,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/combined/017,bagel,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
bagel/test/combined/018,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/combined/019,bagel,1,B_depth_only+E_fixes_rgb
bagel/test/combined/020,bagel,1,C_both_correct
bagel/test/combined/021,bagel,1,A_rgb_only+G_breaks
bagel/test/combined/022,bagel,1,D_both_wrong
bagel/test/contamination/000,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/contamination/001,bagel,1,C_both_correct
bagel/test/contamination/002,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/contamination/003,bagel,1,C_both_correct
bagel/test/contamination/004,bagel,1,D_both_wrong
bagel/test/contamination/005,bagel,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
bagel/test/contamination/006,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/contamination/007,bagel,1,D_both_wrong
bagel/test/contamination/008,bagel,1,D_both_wrong
bagel/test/contamination/009,bagel,1,D_both_wrong
bagel/test/contamination/010,bagel,1,D_both_wrong
bagel/test/contamination/011,bagel,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
bagel/test/contamination/012,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/contamination/013,bagel,1,D_both_wrong
bagel/test/contamination/014,bagel,1,A_rgb_only+G_breaks
bagel/test/contamination/015,bagel,1,D_both_wrong
bagel/test/contamination/016,bagel,1,D_both_wrong
bagel/test/contamination/017,bagel,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
bagel/test/contamination/018,bagel,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
bagel/test/contamination/019,bagel,1,A_rgb_only+G_breaks
bagel/test/contamination/020,bagel,1,B_depth_only+G_breaks
bagel/test/contamination/021,bagel,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
bagel/test/crack/000,bagel,1,A_rgb_only+F_fixes_depth
bagel/test/crack/001,bagel,1,C_both_correct
bagel/test/crack/002,bagel,1,C_both_correct+G_breaks
bagel/test/crack/003,bagel,1,D_both_wrong
bagel/test/crack/004,bagel,1,D_both_wrong
bagel/test/crack/005,bagel,1,A_rgb_only+G_breaks
bagel/test/crack/006,bagel,1,D_both_wrong+E_fixes_rgb+F_fixes_depth
