category,defect,n_normal,n_defect,fusion_image_auroc
bagel,combined,22,23,0.9209
bagel,contamination,22,22,0.7996
bagel,crack,22,22,0.9525
bagel,hole,22,21,0.8139
cable_gland,bent,21,21,0.7143
cable_gland,cut,21,22,0.8896
cable_gland,hole,21,22,0.7662
cable_gland,thread,21,22,0.8333
carrot,combined,27,27,0.7298
carrot,contamination,27,27,0.5322
carrot,crack,27,26,0.6425
carrot,cut,27,26,0.7179
carrot,hole,27,26,0.8618
cookie,combined,28,25,0.7043
cookie,contamination,28,25,0.3314
cookie,crack,28,27,0.6481
cookie,hole,28,26,0.364
dowel,bent,26,27,0.6937
dowel,combined,26,26,0.6938
dowel,contamination,26,26,0.5814
dowel,cut,26,25,0.5769
foam,color,20,20,0.8225
foam,combined,20,20,0.74
foam,contamination,20,20,0.735
foam,cut,20,20,0.6775
peach,combined,26,25,0.4969
peach,contamination,26,27,0.3405
peach,cut,26,25,0.4015
peach,hole,26,29,0.4496
potato,combined,22,23,0.3281
potato,contamination,22,23,0.3518
potato,cut,22,23,0.5652
potato,hole,22,23,0.6087
rope,contamination,32,25,0.5675
rope,cut,32,27,0.7083
rope,open,32,17,0.8419
tire,combined,25,5,0.768
tire,contamination,25,28,0.5286
tire,cut,25,27,0.52
tire,hole,25,27,0.5911
