category,metric,RGB,Depth,LateFusion,d_vs_RGB,d_vs_Depth,d_vs_BestSingle
bagel,I-AUROC(max),0.733,0.7195,0.8729,0.14,0.1534,0.14
bagel,I-AUROC(topk1%),0.7862,0.765,0.9267,0.1405,0.1617,0.1405
bagel,P-AUROC,0.9581,0.7814,0.978,0.0199,0.1965,0.0199
bagel,AUPRO,0.84,0.5209,0.8966,0.0567,0.3758,0.0567
cable_gland,I-AUROC(max),0.8309,0.1658,0.8019,-0.029,0.636,-0.029
cable_gland,I-AUROC(topk1%),0.9732,0.1959,1.0,0.0268,0.8041,0.0268
cable_gland,P-AUROC,0.8448,0.7875,0.8064,-0.0384,0.0188,-0.0384
cable_gland,AUPRO,0.5343,0.4874,0.4087,-0.1256,-0.0787,-0.1256
carrot,I-AUROC(max),0.8039,0.546,0.6958,-0.108,0.1498,-0.108
carrot,I-AUROC(topk1%),0.7301,0.5769,0.6843,-0.0457,0.1075,-0.0457
carrot,P-AUROC,0.9404,0.7886,0.9391,-0.0013,0.1505,-0.0013
carrot,AUPRO,0.822,0.5609,0.8197,-0.0023,0.2588,-0.0023
cookie,I-AUROC(max),0.4653,0.4938,0.5132,0.0479,0.0194,0.0194
cookie,I-AUROC(topk1%),0.4598,0.6099,0.759,0.2992,0.1491,0.1491
cookie,P-AUROC,0.8406,0.7921,0.9269,0.0863,0.1348,0.0863
cookie,AUPRO,0.4622,0.642,0.7281,0.2659,0.0861,0.0861
dowel,I-AUROC(max),0.5684,0.5385,0.6376,0.0692,0.0991,0.0692
dowel,I-AUROC(topk1%),0.5178,0.6117,0.5936,0.0758,-0.0181,-0.0181
dowel,P-AUROC,0.8687,0.8145,0.8909,0.0222,0.0764,0.0222
dowel,AUPRO,0.5747,0.4994,0.6252,0.0504,0.1258,0.0504
foam,I-AUROC(max),0.79,0.4806,0.7438,-0.0463,0.2631,-0.0463
foam,I-AUROC(topk1%),0.7931,0.4794,0.7419,-0.0512,0.2625,-0.0512
foam,P-AUROC,0.8934,0.4511,0.8389,-0.0545,0.3878,-0.0545
foam,AUPRO,0.7053,0.0996,0.5867,-0.1186,0.4871,-0.1186
peach,I-AUROC(max),0.3846,0.5555,0.4216,0.037,-0.1339,-0.1339
peach,I-AUROC(topk1%),0.4597,0.6303,0.5033,0.0435,-0.127,-0.127
peach,P-AUROC,0.937,0.7225,0.9374,0.0004,0.2149,0.0004
peach,AUPRO,0.7809,0.3935,0.7743,-0.0066,0.3808,-0.0066
potato,I-AUROC(max),0.4145,0.6729,0.4634,0.0489,-0.2095,-0.2095
potato,I-AUROC(topk1%),0.4862,0.6907,0.6546,0.1685,-0.0361,-0.0361
potato,P-AUROC,0.9685,0.7196,0.9478,-0.0208,0.2282,-0.0208
potato,AUPRO,0.8863,0.4569,0.8198,-0.0666,0.3629,-0.0666
rope,I-AUROC(max),0.813,0.6617,0.6902,-0.1227,0.0285,-0.1227
rope,I-AUROC(topk1%),0.9674,0.7894,0.8813,-0.0861,0.0919,-0.0861
rope,P-AUROC,0.7838,0.857,0.9603,0.1765,0.1033,0.1033
rope,AUPRO,0.53,0.7749,0.8449,0.3149,0.0699,0.0699
tire,I-AUROC(max),0.5972,0.5053,0.5591,-0.0382,0.0538,-0.0382
tire,I-AUROC(topk1%),0.6883,0.526,0.5761,-0.1122,0.0501,-0.1122
tire,P-AUROC,0.9145,0.8279,0.9227,0.0083,0.0948,0.0083
tire,AUPRO,0.719,0.4823,0.7199,0.001,0.2376,0.001
MEAN,I-AUROC(max),0.6401,0.534,0.64,-0.0001,0.106,-0.0001
MEAN,I-AUROC(topk1%),0.6862,0.5875,0.7321,0.0459,0.1446,0.0459
MEAN,P-AUROC,0.895,0.7542,0.9148,0.0199,0.1606,0.0199
MEAN,AUPRO,0.6855,0.4918,0.7224,0.0369,0.2306,0.0369
