category,image_auroc_max,image_auprc_max,image_auroc_topk1,pixel_auroc,pixel_auprc,aupro,max_image_auroc,max_pixel_auroc,max_aupro,num_test_images,num_anomalous
bagel,0.8538223140495868,0.9572672629154679,0.9101239669421488,0.9855832591832503,0.3334040221936717,0.9293982077330615,0.7789256198347108,0.9647929531687478,0.8532134983758155,110,88
cable_gland,0.7110016420361248,0.8841032117285381,0.9923371647509579,0.899710662575304,0.017120756302280167,0.6743258982107384,0.6338259441707718,0.9380070801879375,0.79351654989174,108,87
carrot,0.7370931537598204,0.9386503539756662,0.8302469135802469,0.9831435555493071,0.2815746651113809,0.94813813341878,0.7960157126823794,0.977840191694082,0.9307432727377918,159,132
cookie,0.5707350901525658,0.853597716934914,0.7049237170596394,0.9650782583365806,0.44362975308485403,0.8532420660976969,0.5783633841886269,0.917041286466403,0.6855759338675731,131,103
dowel,0.5931952662721893,0.8395841682004053,0.7189349112426036,0.9672049845913127,0.1557014404132744,0.872784508559733,0.5003698224852071,0.9581629002157215,0.8398403461689338,130,104
foam,0.6656249999999999,0.8822261529136832,0.6781250000000001,0.8797066628382372,0.07433373448508339,0.6820363361883761,0.6218750000000001,0.8737947416759764,0.6799841692160373,100,80
peach,0.5696661828737299,0.8018539884302998,0.638243831640058,0.9793984481581139,0.16055468058752287,0.9251251410955788,0.5043541364296081,0.9665571850867416,0.8825101448759275,132,106
potato,0.5978260869565217,0.8752705859370784,0.6235177865612648,0.9886425589020024,0.18249078626992876,0.9583949564084845,0.46739130434782605,0.9867865359272118,0.9526349253819776,114,92
rope,0.6965579710144928,0.8390185688836429,0.8106884057971016,0.9722666623318725,0.3898842325784987,0.9050023925002998,0.6625905797101449,0.9524655352140624,0.857684004509483,101,69
tire,0.5402298850574713,0.8276985694444216,0.6091954022988506,0.9414933956716356,0.03638320499346149,0.7811193348239012,0.5572413793103448,0.932474205956773,0.7505759785913519,112,87
