category,defect,n_normal,n_defect,e4_auroc
bagel,combined,22,23,0.8794
bagel,contamination,22,22,0.7769
bagel,crack,22,22,0.9463
bagel,hole,22,21,0.8095
cable_gland,bent,21,21,0.6735
cable_gland,cut,21,22,0.8247
cable_gland,hole,21,22,0.6797
cable_gland,thread,21,22,0.6645
carrot,combined,27,27,0.8615
carrot,contamination,27,27,0.6365
carrot,crack,27,26,0.8333
carrot,cut,27,26,0.5442
carrot,hole,27,26,0.8091
cookie,combined,28,25,0.7471
cookie,contamination,28,25,0.3757
cookie,crack,28,27,0.7328
cookie,hole,28,26,0.4203
dowel,bent,26,27,0.6781
dowel,combined,26,26,0.6139
dowel,contamination,26,26,0.537
dowel,cut,26,25,0.5385
foam,color,20,20,0.8175
foam,combined,20,20,0.7475
foam,contamination,20,20,0.6275
foam,cut,20,20,0.47
peach,combined,26,25,0.6154
peach,contamination,26,27,0.5114
peach,cut,26,25,0.6154
peach,hole,26,29,0.5451
potato,combined,22,23,0.6976
potato,contamination,22,23,0.666
potato,cut,22,23,0.5375
potato,hole,22,23,0.4901
rope,contamination,32,25,0.575
rope,cut,32,27,0.6968
rope,open,32,17,0.875
tire,combined,25,5,0.88
tire,contamination,25,28,0.5386
tire,cut,25,27,0.4933
tire,hole,25,27,0.5259
