category,image_auroc_256,image_auroc_native,d_image_auroc,pixel_auroc_256,pixel_auroc_native,d_pixel_auroc,aupro_256,aupro_native,d_aupro
bagel,0.8538223140495868,0.8538223140495868,0.0,0.9855832591832504,0.9863000973715856,0.0007168381883352337,0.9293982077330616,0.9321883998742962,0.0027901921412346598
cable_gland,0.7110016420361248,0.7110016420361248,0.0,0.899710662575304,0.9038200188913664,0.004109356316062462,0.6743258982107384,0.6877929377315961,0.013467039520857704
carrot,0.7370931537598204,0.7370931537598204,0.0,0.9831435555493072,0.9832746836183311,0.0001311280690239336,0.94813813341878,0.9487177667928776,0.0005796333740976101
cookie,0.5707350901525658,0.5707350901525658,0.0,0.9650782583365806,0.9664421819920892,0.0013639236555086365,0.8532420660976969,0.8577639574362658,0.00452189133856884
dowel,0.5931952662721893,0.5931952662721893,0.0,0.9672049845913128,0.9674791386381674,0.0002741540468546022,0.872784508559733,0.873998749440334,0.0012142408806009586
foam,0.6656249999999999,0.6656249999999999,0.0,0.8797066628382372,0.8817458534392766,0.002039190601039409,0.6820363361883761,0.6868590945533376,0.004822758364961488
peach,0.5696661828737299,0.5696661828737299,0.0,0.979398448158114,0.9802955013368956,0.0008970531787815261,0.9251251410955788,0.9285825897915994,0.003457448696020604
potato,0.5978260869565217,0.5978260869565217,0.0,0.9886425589020024,0.9888720710318543,0.0002295121298518943,0.9583949564084844,0.9594092868036647,0.0010143303951802851
rope,0.6965579710144928,0.6965579710144928,0.0,0.9722666623318724,0.9819046374975484,0.009637975165675994,0.9050023925002998,0.9163734380270011,0.011371045526701318
tire,0.5402298850574713,0.5402298850574713,0.0,0.9414933956716356,0.9423061253203068,0.0008127296486711844,0.7811193348239012,0.7801335480059706,-0.0009857868179306006
MEAN,0.6536,0.6536,0.0,0.9562,0.9582,0.002,0.853,0.8572,0.0042
