category,metric,RGB,Depth,FixedMean,BestE3B,E3C,E4,d_vs_RGB,d_vs_BestSingle,d_vs_Fixed,d_vs_BestE3B,d_vs_E3C
bagel,I-AUROC(max),0.733,0.7195,0.8729,0.8497,0.7443,0.8538,0.1209,0.1209,-0.0191,0.0041,0.1095
bagel,I-AUROC(topk1%),0.7862,0.765,0.9267,0.8642,0.7355,0.9101,0.124,0.124,-0.0166,0.0459,0.1746
bagel,P-AUROC,0.9581,0.7814,0.978,0.9708,0.9643,0.9856,0.0275,0.0275,0.0076,0.0148,0.0213
bagel,AUPRO,0.84,0.5209,0.8966,0.8629,0.8577,0.9294,0.0894,0.0894,0.0328,0.0665,0.0717
cable_gland,I-AUROC(max),0.8309,0.1658,0.8019,0.8041,0.7192,0.711,-0.1199,-0.1199,-0.0909,-0.0931,-0.0082
cable_gland,I-AUROC(topk1%),0.9732,0.1959,1.0,1.0,0.9814,0.9923,0.0192,0.0192,-0.0077,-0.0077,0.0109
cable_gland,P-AUROC,0.8448,0.7875,0.8064,0.8201,0.7978,0.8997,0.055,0.055,0.0933,0.0796,0.1019
cable_gland,AUPRO,0.5343,0.4874,0.4087,0.4697,0.4692,0.6743,0.14,0.14,0.2656,0.2046,0.2051
carrot,I-AUROC(max),0.8039,0.546,0.6958,0.6964,0.7525,0.7371,-0.0668,-0.0668,0.0413,0.0407,-0.0154
carrot,I-AUROC(topk1%),0.7301,0.5769,0.6843,0.686,0.7037,0.8302,0.1002,0.1002,0.1459,0.1442,0.1265
carrot,P-AUROC,0.9404,0.7886,0.9391,0.9396,0.9369,0.9831,0.0428,0.0428,0.044,0.0435,0.0462
carrot,AUPRO,0.822,0.5609,0.8197,0.821,0.8048,0.9481,0.1261,0.1261,0.1284,0.1271,0.1433
cookie,I-AUROC(max),0.4653,0.4938,0.5132,0.5059,0.4515,0.5707,0.1054,0.077,0.0575,0.0648,0.1192
cookie,I-AUROC(topk1%),0.4598,0.6099,0.759,0.7566,0.5735,0.7049,0.2451,0.095,-0.0541,-0.0517,0.1314
cookie,P-AUROC,0.8406,0.7921,0.9269,0.9239,0.8714,0.9651,0.1245,0.1245,0.0382,0.0412,0.0937
cookie,AUPRO,0.4622,0.642,0.7281,0.7137,0.5362,0.8532,0.3911,0.2113,0.1251,0.1395,0.317
dowel,I-AUROC(max),0.5684,0.5385,0.6376,0.6298,0.5947,0.5932,0.0248,0.0248,-0.0444,-0.0366,-0.0015
dowel,I-AUROC(topk1%),0.5178,0.6117,0.5936,0.6024,0.4919,0.7189,0.2012,0.1072,0.1253,0.1165,0.227
dowel,P-AUROC,0.8687,0.8145,0.8909,0.8901,0.8727,0.9672,0.0985,0.0985,0.0763,0.0771,0.0945
dowel,AUPRO,0.5747,0.4994,0.6252,0.6231,0.5807,0.8728,0.2981,0.2981,0.2476,0.2497,0.2921
foam,I-AUROC(max),0.79,0.4806,0.7438,0.7444,0.7687,0.6656,-0.1244,-0.1244,-0.0782,-0.0788,-0.1031
foam,I-AUROC(topk1%),0.7931,0.4794,0.7419,0.7588,0.7881,0.6781,-0.115,-0.115,-0.0638,-0.0807,-0.11
foam,P-AUROC,0.8934,0.4511,0.8389,0.8474,0.8613,0.8797,-0.0137,-0.0137,0.0408,0.0323,0.0184
foam,AUPRO,0.7053,0.0996,0.5867,0.6055,0.6633,0.682,-0.0232,-0.0232,0.0953,0.0765,0.0187
peach,I-AUROC(max),0.3846,0.5555,0.4216,0.5189,0.43,0.5697,0.1851,0.0142,0.1481,0.0508,0.1397
peach,I-AUROC(topk1%),0.4597,0.6303,0.5033,0.5617,0.4829,0.6382,0.1785,0.008,0.1349,0.0765,0.1553
peach,P-AUROC,0.937,0.7225,0.9374,0.9253,0.9401,0.9794,0.0424,0.0424,0.042,0.0541,0.0393
peach,AUPRO,0.7809,0.3935,0.7743,0.7376,0.7899,0.9251,0.1442,0.1442,0.1508,0.1875,0.1352
potato,I-AUROC(max),0.4145,0.6729,0.4634,0.6126,0.419,0.5978,0.1833,-0.0751,0.1344,-0.0148,0.1788
potato,I-AUROC(topk1%),0.4862,0.6907,0.6546,0.6952,0.4886,0.6235,0.1374,-0.0672,-0.0311,-0.0717,0.1349
potato,P-AUROC,0.9685,0.7196,0.9478,0.9059,0.9665,0.9886,0.0201,0.0201,0.0408,0.0827,0.0221
potato,AUPRO,0.8863,0.4569,0.8198,0.741,0.8805,0.9584,0.0721,0.0721,0.1386,0.2174,0.0779
rope,I-AUROC(max),0.813,0.6617,0.6902,0.7631,0.5729,0.6966,-0.1164,-0.1164,0.0064,-0.0665,0.1237
rope,I-AUROC(topk1%),0.9674,0.7894,0.8813,0.9597,0.7948,0.8107,-0.1567,-0.1567,-0.0706,-0.149,0.0159
rope,P-AUROC,0.7838,0.857,0.9603,0.9539,0.9457,0.9723,0.1885,0.1153,0.012,0.0184,0.0266
rope,AUPRO,0.53,0.7749,0.8449,0.8192,0.7975,0.905,0.375,0.1301,0.0601,0.0858,0.1075
tire,I-AUROC(max),0.5972,0.5053,0.5591,0.5871,0.6005,0.5402,-0.057,-0.057,-0.0189,-0.0469,-0.0603
tire,I-AUROC(topk1%),0.6883,0.526,0.5761,0.657,0.6685,0.6092,-0.0791,-0.0791,0.0331,-0.0478,-0.0593
tire,P-AUROC,0.9145,0.8279,0.9227,0.9295,0.9157,0.9415,0.027,0.027,0.0188,0.012,0.0258
tire,AUPRO,0.719,0.4823,0.7199,0.7524,0.7095,0.7811,0.0621,0.0621,0.0612,0.0287,0.0716
MEAN,I-AUROC(max),0.6401,0.534,0.64,0.6712,0.6053,0.6536,0.0135,0.0135,0.0136,-0.0176,0.0482
MEAN,I-AUROC(topk1%),0.6862,0.5875,0.7321,0.7542,0.6709,0.7516,0.0655,0.0655,0.0196,-0.0025,0.0807
MEAN,P-AUROC,0.895,0.7542,0.9148,0.9107,0.9072,0.9562,0.0613,0.0613,0.0414,0.0456,0.049
MEAN,AUPRO,0.6855,0.4918,0.7224,0.7146,0.7089,0.853,0.1675,0.1675,0.1306,0.1383,0.144
