experiment,category,res_mag_rgb,res_mag_depth,attn_entropy_rgb,attn_entropy_depth,valid_depth_attn_mass
E5_cross_attn_rgb,bagel,0.220969,,3.8343,,1.0
E5_cross_attn_rgb,cable_gland,0.348178,,3.948,,1.0
E5_cross_attn_rgb,carrot,0.210794,,5.4058,,1.0
E5_cross_attn_rgb,cookie,0.176618,,3.9458,,1.0
E5_cross_attn_rgb,dowel,0.315149,,3.9276,,1.0
E5_cross_attn_rgb,foam,0.165368,,3.8152,,1.0
E5_cross_attn_rgb,peach,0.249613,,4.3913,,1.0
E5_cross_attn_rgb,potato,0.272304,,4.9116,,1.0
E5_cross_attn_rgb,rope,0.166625,,4.2478,,1.0
E5_cross_attn_rgb,tire,0.152048,,4.4379,,1.0
E6_cross_attn_depth,bagel,,0.167936,,3.8307,
E6_cross_attn_depth,cable_gland,,0.111656,,4.532,
E6_cross_attn_depth,carrot,,0.239922,,4.2641,
E6_cross_attn_depth,cookie,,0.175767,,3.9065,
E6_cross_attn_depth,dowel,,0.189677,,4.5914,
E6_cross_attn_depth,foam,,0.185847,,4.3709,
E6_cross_attn_depth,peach,,0.170728,,4.2313,
E6_cross_attn_depth,potato,,0.161591,,4.9187,
E6_cross_attn_depth,rope,,0.206653,,4.3288,
E6_cross_attn_depth,tire,,0.200984,,4.2189,
E7_xmv_bidirectional,bagel,0.227913,0.181294,3.7942,3.6418,1.0
E7_xmv_bidirectional,cable_gland,0.320846,0.101599,3.9219,4.6936,1.0
E7_xmv_bidirectional,carrot,0.193863,0.241877,4.7673,4.1137,1.0
E7_xmv_bidirectional,cookie,0.181715,0.197572,4.0691,4.0771,1.0
E7_xmv_bidirectional,dowel,0.243313,0.18279,4.1239,4.3199,1.0
E7_xmv_bidirectional,foam,0.167055,0.201505,4.1244,4.2372,1.0
E7_xmv_bidirectional,peach,0.218268,0.20686,4.4997,4.2122,1.0
E7_xmv_bidirectional,potato,0.198833,0.206343,4.4272,4.5282,1.0
E7_xmv_bidirectional,rope,0.148074,0.22492,4.2383,3.793,1.0
E7_xmv_bidirectional,tire,0.187935,0.194424,3.8263,4.1345,1.0
