experiment,category,defect,n_normal,n_defect,auroc
E5_cross_attn_rgb,bagel,combined,22,23,0.9328
E5_cross_attn_rgb,bagel,contamination,22,22,0.8182
E5_cross_attn_rgb,bagel,crack,22,22,0.9545
E5_cross_attn_rgb,bagel,hole,22,21,0.829
E5_cross_attn_rgb,cable_gland,bent,21,21,0.7438
E5_cross_attn_rgb,cable_gland,cut,21,22,0.7771
E5_cross_attn_rgb,cable_gland,hole,21,22,0.7294
E5_cross_attn_rgb,cable_gland,thread,21,22,0.7359
E5_cross_attn_rgb,carrot,combined,27,27,0.7325
E5_cross_attn_rgb,carrot,contamination,27,27,0.5336
E5_cross_attn_rgb,carrot,crack,27,26,0.6439
E5_cross_attn_rgb,carrot,cut,27,26,0.7123
E5_cross_attn_rgb,carrot,hole,27,26,0.8618
E5_cross_attn_rgb,cookie,combined,28,25,0.6514
E5_cross_attn_rgb,cookie,contamination,28,25,0.25
E5_cross_attn_rgb,cookie,crack,28,27,0.5847
E5_cross_attn_rgb,cookie,hole,28,26,0.2706
E5_cross_attn_rgb,dowel,bent,26,27,0.7108
E5_cross_attn_rgb,dowel,combined,26,26,0.6701
E5_cross_attn_rgb,dowel,contamination,26,26,0.4896
E5_cross_attn_rgb,dowel,cut,26,25,0.5785
E5_cross_attn_rgb,foam,color,20,20,0.8375
E5_cross_attn_rgb,foam,combined,20,20,0.815
E5_cross_attn_rgb,foam,contamination,20,20,0.78
E5_cross_attn_rgb,foam,cut,20,20,0.6675
E5_cross_attn_rgb,peach,combined,26,25,0.4369
E5_cross_attn_rgb,peach,contamination,26,27,0.2806
E5_cross_attn_rgb,peach,cut,26,25,0.3508
E5_cross_attn_rgb,peach,hole,26,29,0.366
E5_cross_attn_rgb,potato,combined,22,23,0.3458
E5_cross_attn_rgb,potato,contamination,22,23,0.3735
E5_cross_attn_rgb,potato,cut,22,23,0.5929
E5_cross_attn_rgb,potato,hole,22,23,0.6542
E5_cross_attn_rgb,rope,contamination,32,25,0.5687
E5_cross_attn_rgb,rope,cut,32,27,0.7106
E5_cross_attn_rgb,rope,open,32,17,0.8456
E5_cross_attn_rgb,tire,combined,25,5,0.784
E5_cross_attn_rgb,tire,contamination,25,28,0.5486
E5_cross_attn_rgb,tire,cut,25,27,0.5526
E5_cross_attn_rgb,tire,hole,25,27,0.6
E6_cross_attn_depth,bagel,combined,22,23,0.917
E6_cross_attn_depth,bagel,contamination,22,22,0.8202
E6_cross_attn_depth,bagel,crack,22,22,0.9525
E6_cross_attn_depth,bagel,hole,22,21,0.8052
E6_cross_attn_depth,cable_gland,bent,21,21,0.5896
E6_cross_attn_depth,cable_gland,cut,21,22,0.7641
E6_cross_attn_depth,cable_gland,hole,21,22,0.6407
E6_cross_attn_depth,cable_gland,thread,21,22,0.7381
E6_cross_attn_depth,carrot,combined,27,27,0.7298
E6_cross_attn_depth,carrot,contamination,27,27,0.5309
E6_cross_attn_depth,carrot,crack,27,26,0.6425
E6_cross_attn_depth,carrot,cut,27,26,0.708
E6_cross_attn_depth,carrot,hole,27,26,0.8704
E6_cross_attn_depth,cookie,combined,28,25,0.7114
E6_cross_attn_depth,cookie,contamination,28,25,0.3557
E6_cross_attn_depth,cookie,crack,28,27,0.672
E6_cross_attn_depth,cookie,hole,28,26,0.386
E6_cross_attn_depth,dowel,bent,26,27,0.7051
E6_cross_attn_depth,dowel,combined,26,26,0.6923
E6_cross_attn_depth,dowel,contamination,26,26,0.5695
E6_cross_attn_depth,dowel,cut,26,25,0.5831
E6_cross_attn_depth,foam,color,20,20,0.82
E6_cross_attn_depth,foam,combined,20,20,0.73
E6_cross_attn_depth,foam,contamination,20,20,0.725
E6_cross_attn_depth,foam,cut,20,20,0.66
E6_cross_attn_depth,peach,combined,26,25,0.5031
E6_cross_attn_depth,peach,contamination,26,27,0.3319
E6_cross_attn_depth,peach,cut,26,25,0.3938
E6_cross_attn_depth,peach,hole,26,29,0.435
E6_cross_attn_depth,potato,combined,22,23,0.334
E6_cross_attn_depth,potato,contamination,22,23,0.3419
E6_cross_attn_depth,potato,cut,22,23,0.5553
E6_cross_attn_depth,potato,hole,22,23,0.6107
E6_cross_attn_depth,rope,contamination,32,25,0.5725
E6_cross_attn_depth,rope,cut,32,27,0.7118
E6_cross_attn_depth,rope,open,32,17,0.8272
E6_cross_attn_depth,tire,combined,25,5,0.792
E6_cross_attn_depth,tire,contamination,25,28,0.5243
E6_cross_attn_depth,tire,cut,25,27,0.5126
E6_cross_attn_depth,tire,hole,25,27,0.5733
E7_xmv_bidirectional,bagel,combined,22,23,0.9308
E7_xmv_bidirectional,bagel,contamination,22,22,0.8017
E7_xmv_bidirectional,bagel,crack,22,22,0.9525
E7_xmv_bidirectional,bagel,hole,22,21,0.8377
E7_xmv_bidirectional,cable_gland,bent,21,21,0.6848
E7_xmv_bidirectional,cable_gland,cut,21,22,0.79
E7_xmv_bidirectional,cable_gland,hole,21,22,0.6623
E7_xmv_bidirectional,cable_gland,thread,21,22,0.7424
E7_xmv_bidirectional,carrot,combined,27,27,0.7394
E7_xmv_bidirectional,carrot,contamination,27,27,0.6159
E7_xmv_bidirectional,carrot,crack,27,26,0.7293
E7_xmv_bidirectional,carrot,cut,27,26,0.7308
E7_xmv_bidirectional,carrot,hole,27,26,0.8575
E7_xmv_bidirectional,cookie,combined,28,25,0.65
E7_xmv_bidirectional,cookie,contamination,28,25,0.3143
E7_xmv_bidirectional,cookie,crack,28,27,0.5754
E7_xmv_bidirectional,cookie,hole,28,26,0.3214
E7_xmv_bidirectional,dowel,bent,26,27,0.7165
E7_xmv_bidirectional,dowel,combined,26,26,0.6834
E7_xmv_bidirectional,dowel,contamination,26,26,0.4956
E7_xmv_bidirectional,dowel,cut,26,25,0.6015
E7_xmv_bidirectional,foam,color,20,20,0.8275
E7_xmv_bidirectional,foam,combined,20,20,0.795
E7_xmv_bidirectional,foam,contamination,20,20,0.7875
E7_xmv_bidirectional,foam,cut,20,20,0.66
E7_xmv_bidirectional,peach,combined,26,25,0.4215
E7_xmv_bidirectional,peach,contamination,26,27,0.2707
E7_xmv_bidirectional,peach,cut,26,25,0.3246
E7_xmv_bidirectional,peach,hole,26,29,0.3103
E7_xmv_bidirectional,potato,combined,22,23,0.4921
E7_xmv_bidirectional,potato,contamination,22,23,0.4111
E7_xmv_bidirectional,potato,cut,22,23,0.5692
E7_xmv_bidirectional,potato,hole,22,23,0.7273
E7_xmv_bidirectional,rope,contamination,32,25,0.58
E7_xmv_bidirectional,rope,cut,32,27,0.7153
E7_xmv_bidirectional,rope,open,32,17,0.8438
E7_xmv_bidirectional,tire,combined,25,5,0.768
E7_xmv_bidirectional,tire,contamination,25,28,0.5257
E7_xmv_bidirectional,tire,cut,25,27,0.5363
E7_xmv_bidirectional,tire,hole,25,27,0.5956
