category,metric,E5_rgb_from_depth,E6_depth_from_rgb,E7_bidirectional,best_direction,bidir_minus_best_oneway
bagel,I-AUROC(max),0.8848,0.875,0.8817,E5,-0.0031
bagel,P-AUROC,0.9781,0.9781,0.9784,E7,0.0
bagel,AUPRO,0.8972,0.8966,0.8976,E7,0.0
cable_gland,I-AUROC(max),0.7466,0.6842,0.7203,E5,-0.0263
cable_gland,P-AUROC,0.8255,0.7997,0.8207,E5,-0.0048
cable_gland,AUPRO,0.4649,0.3933,0.4553,E5,-0.0096
carrot,I-AUROC(max),0.6958,0.6953,0.7337,E7,0.0
carrot,P-AUROC,0.9394,0.9385,0.9418,E7,0.0
carrot,AUPRO,0.8205,0.817,0.827,E7,0.0
cookie,I-AUROC(max),0.4404,0.5326,0.466,E6,-0.0666
cookie,P-AUROC,0.9263,0.9286,0.9284,E6,-0.0002
cookie,AUPRO,0.725,0.7349,0.732,E6,-0.0029
dowel,I-AUROC(max),0.6135,0.6387,0.6254,E6,-0.0133
dowel,P-AUROC,0.8897,0.8927,0.8916,E6,-0.0011
dowel,AUPRO,0.6197,0.6288,0.6249,E6,-0.0039
foam,I-AUROC(max),0.775,0.7338,0.7675,E5,-0.0075
foam,P-AUROC,0.8387,0.8434,0.8455,E7,0.0
foam,AUPRO,0.5862,0.5951,0.5993,E7,0.0
peach,I-AUROC(max),0.3574,0.4151,0.3298,E6,-0.0853
peach,P-AUROC,0.9393,0.9382,0.9399,E7,0.0
peach,AUPRO,0.7808,0.7766,0.7825,E7,0.0
potato,I-AUROC(max),0.4916,0.4605,0.5499,E7,0.0
potato,P-AUROC,0.9468,0.9498,0.95,E7,0.0
potato,AUPRO,0.8168,0.8259,0.8261,E7,0.0
rope,I-AUROC(max),0.6925,0.6898,0.6979,E7,0.0
rope,P-AUROC,0.9602,0.9575,0.9584,E5,-0.0018
rope,AUPRO,0.8441,0.8401,0.8407,E5,-0.0034
tire,I-AUROC(max),0.5793,0.5513,0.5646,E5,-0.0147
tire,P-AUROC,0.9236,0.9252,0.9247,E6,-0.0005
tire,AUPRO,0.7226,0.7285,0.7267,E6,-0.0018
