experiment,category,gamma_rgb_from_depth,gamma_depth_from_rgb,val_loss,attn_params
E5_cross_attn_rgb,bagel,0.10851,0.0,0.31533,12770
E5_cross_attn_rgb,cable_gland,-0.16656,0.0,0.397,12770
E5_cross_attn_rgb,carrot,0.02675,0.0,0.29549,12770
E5_cross_attn_rgb,cookie,0.10766,0.0,0.37012,12770
E5_cross_attn_rgb,dowel,0.08076,0.0,0.34363,12770
E5_cross_attn_rgb,foam,-0.15062,0.0,0.35203,12770
E5_cross_attn_rgb,peach,0.10425,0.0,0.35816,12770
E5_cross_attn_rgb,potato,0.03003,0.0,0.37408,12770
E5_cross_attn_rgb,rope,0.06725,0.0,0.235,12770
E5_cross_attn_rgb,tire,-0.11385,0.0,0.31321,12770
E6_cross_attn_depth,bagel,0.0,0.11729,0.31537,12770
E6_cross_attn_depth,cable_gland,0.0,0.22586,0.39868,12770
E6_cross_attn_depth,carrot,0.0,0.1351,0.2928,12770
E6_cross_attn_depth,cookie,0.0,0.11886,0.3688,12770
E6_cross_attn_depth,dowel,0.0,-0.21638,0.34023,12770
E6_cross_attn_depth,foam,0.0,-0.16278,0.35192,12770
E6_cross_attn_depth,peach,0.0,0.1433,0.35579,12770
E6_cross_attn_depth,potato,0.0,0.13993,0.37022,12770
E6_cross_attn_depth,rope,0.0,0.17027,0.2312,12770
E6_cross_attn_depth,tire,0.0,0.13238,0.3139,12770
E7_xmv_bidirectional,bagel,0.11472,0.10095,0.3115,12770
E7_xmv_bidirectional,cable_gland,-0.16959,0.21385,0.39034,12770
E7_xmv_bidirectional,carrot,0.14522,0.13329,0.29065,12770
E7_xmv_bidirectional,cookie,0.10929,0.10617,0.36672,12770
E7_xmv_bidirectional,dowel,0.11567,-0.21361,0.33781,12770
E7_xmv_bidirectional,foam,-0.14715,-0.15877,0.34549,12770
E7_xmv_bidirectional,peach,0.13669,0.11045,0.35465,12770
E7_xmv_bidirectional,potato,0.12197,0.10138,0.36931,12770
E7_xmv_bidirectional,rope,0.0981,0.11806,0.22898,12770
E7_xmv_bidirectional,tire,-0.11351,0.1328,0.3081,12770
