category,D_rgb_mean,D_depth_mean,corr_rgb_mean,corr_depth_mean,D_rgb_vsE4,D_depth_vsE4,corr_rgb_vsE4,corr_depth_vsE4
bagel,0.00788,0.0,0.9872,1.0,0.02771,0.01594,0.9245,0.9664
cable_gland,0.02167,0.0,0.974,1.0,0.05889,0.0099,0.8077,0.9762
carrot,0.00068,0.0,0.9999,1.0,0.03122,0.02795,0.7204,0.8502
cookie,0.00507,0.0,0.9926,1.0,0.0341,0.01915,0.8604,0.9714
dowel,0.00709,0.0,0.977,1.0,0.03467,0.02891,0.6976,0.8343
foam,0.00607,0.0,0.9867,1.0,0.01936,0.02213,0.9188,0.9278
peach,0.0056,0.0,0.994,1.0,0.04168,0.01456,0.777,0.9655
potato,0.00158,0.0,0.9994,1.0,0.03387,0.02483,0.7345,0.9038
rope,0.00451,0.0,0.9964,1.0,0.03275,0.01714,0.8783,0.9112
tire,0.00639,0.0,0.9873,1.0,0.03089,0.02038,0.8301,0.9645
