category,D_rgb_mean,D_depth_mean,corr_rgb_mean,corr_depth_mean,D_rgb_vsE4,D_depth_vsE4,corr_rgb_vsE4,corr_depth_vsE4
bagel,0.0,0.00369,1.0,0.9962,0.03024,0.01464,0.9227,0.9651
cable_gland,0.0,0.00346,1.0,0.9949,0.07493,0.00876,0.7367,0.9718
carrot,0.0,0.00472,1.0,0.9911,0.03142,0.02687,0.7196,0.8439
cookie,0.0,0.0038,1.0,0.997,0.03417,0.01803,0.8671,0.9719
dowel,0.0,0.00528,1.0,0.9901,0.03543,0.02648,0.6871,0.8401
foam,0.0,0.00624,1.0,0.9878,0.02137,0.01941,0.9152,0.9415
peach,0.0,0.00413,1.0,0.9959,0.04315,0.01238,0.7703,0.9711
potato,0.0,0.00383,1.0,0.9955,0.03389,0.0234,0.7411,0.9106
rope,0.0,0.00557,1.0,0.9871,0.03292,0.01665,0.8868,0.8994
tire,0.0,0.00491,1.0,0.996,0.03168,0.01851,0.83,0.969
