category,metric,RGB,Depth,FixedMean,E4,E5,E6,E7,d_vs_E4,d_vs_Fixed,d_vs_BestSingle
bagel,I-AUROC(max),0.733,0.7195,0.8729,0.8538,0.8848,0.875,0.8817,0.0279,0.0088,0.1488
bagel,I-AUROC(topk0.1%),0.7521,0.7567,,,0.9148,0.9013,0.906,,,0.1493
bagel,I-AUROC(topk1%),0.7862,0.765,0.9267,0.9101,0.9292,0.9334,0.923,0.0129,-0.0037,0.1369
bagel,I-AUPRC(max),0.9123,0.8852,0.9665,0.9573,0.9705,0.9673,0.9697,0.0124,0.0031,0.0573
bagel,P-AUROC,0.9581,0.7814,0.978,0.9856,0.9781,0.9781,0.9784,-0.0072,0.0004,0.0203
bagel,P-AUPRC,0.1237,0.057,0.2951,0.3334,0.2893,0.294,0.2911,-0.0423,-0.004,0.1674
bagel,AUPRO,0.84,0.5209,0.8966,0.9294,0.8972,0.8966,0.8976,-0.0317,0.001,0.0577
cable_gland,I-AUROC(max),0.8309,0.1658,0.8019,0.711,0.7466,0.6842,0.7203,0.0093,-0.0816,-0.1106
cable_gland,I-AUROC(topk0.1%),0.9174,0.1598,,,0.9371,0.8123,0.9184,,,0.0011
cable_gland,I-AUROC(topk1%),0.9732,0.1959,1.0,0.9923,1.0,1.0,1.0,0.0077,0.0,0.0268
cable_gland,I-AUPRC(max),0.9211,0.6717,0.9492,0.8841,0.9155,0.9144,0.9225,0.0384,-0.0267,0.0014
cable_gland,P-AUROC,0.8448,0.7875,0.8064,0.8997,0.8255,0.7997,0.8207,-0.079,0.0143,-0.0241
cable_gland,P-AUPRC,0.017,0.008,0.0065,0.0171,0.0074,0.0063,0.0073,-0.0099,0.0008,-0.0097
cable_gland,AUPRO,0.5343,0.4874,0.4087,0.6743,0.4649,0.3933,0.4553,-0.219,0.0466,-0.079
carrot,I-AUROC(max),0.8039,0.546,0.6958,0.7371,0.6958,0.6953,0.7337,-0.0034,0.0379,-0.0701
carrot,I-AUROC(topk0.1%),0.7938,0.5345,,,0.6745,0.672,0.7051,,,-0.0887
carrot,I-AUROC(topk1%),0.7301,0.5769,0.6843,0.8302,0.6905,0.6796,0.7034,-0.1268,0.0191,-0.0267
carrot,I-AUPRC(max),0.9588,0.8259,0.9171,0.9387,0.9169,0.9184,0.9318,-0.0069,0.0147,-0.027
carrot,P-AUROC,0.9404,0.7886,0.9391,0.9831,0.9394,0.9385,0.9418,-0.0413,0.0027,0.0014
carrot,P-AUPRC,0.1218,0.0092,0.0642,0.2816,0.065,0.0623,0.0771,-0.2045,0.0129,-0.0447
carrot,AUPRO,0.822,0.5609,0.8197,0.9481,0.8205,0.817,0.827,-0.1211,0.0073,0.005
cookie,I-AUROC(max),0.4653,0.4938,0.5132,0.5707,0.4404,0.5326,0.466,-0.1047,-0.0472,-0.0277
cookie,I-AUROC(topk0.1%),0.4719,0.5395,,,0.5073,0.6706,0.5631,,,0.0236
