category,D_rgb_mean,D_depth_mean,corr_rgb_mean,corr_depth_mean,D_rgb_vsE4,D_depth_vsE4,corr_rgb_vsE4,corr_depth_vsE4
bagel,0.00838,0.00324,0.9864,0.9971,0.02753,0.0148,0.9271,0.9654
cable_gland,0.01755,0.00282,0.9866,0.9961,0.06248,0.00904,0.7752,0.9748
carrot,0.00669,0.00413,0.9801,0.9943,0.02919,0.0271,0.7175,0.847
cookie,0.00545,0.00348,0.9913,0.9975,0.03352,0.01807,0.8611,0.9717
dowel,0.00736,0.00472,0.9761,0.9924,0.03466,0.02678,0.6923,0.8444
foam,0.00602,0.00603,0.9871,0.9894,0.01917,0.01931,0.921,0.9431
peach,0.00564,0.00366,0.9939,0.9973,0.04186,0.01291,0.7721,0.9701
potato,0.00571,0.00258,0.986,0.9985,0.03279,0.02388,0.7374,0.9088
rope,0.00539,0.00532,0.995,0.9882,0.03282,0.01679,0.8766,0.8986
tire,0.0073,0.00493,0.9837,0.9956,0.03211,0.01838,0.8197,0.9686
