category,dom_acc,macro_f1,consistency,p_rgb_ratio,pa_rgb,pa_depth,pa_fused,n
bagel,0.7805555555555556,0.8647180212985658,0.8055555555555556,1.804748069680277,0.8367510855883538,0.845118108022475,0.9355889919109106,360
cable_gland,0.8138888888888889,0.8862673969056948,0.75,1.3675290283637789,0.8538874541773059,0.8309910640575219,0.9392941827399792,360
carrot,0.9416666666666667,0.9687771523853237,0.9555555555555556,1.2002367939839798,0.8464133719329033,0.8844598827624813,0.9695925729634829,360
cookie,0.6972222222222222,0.8048330733014182,0.8916666666666667,2.0111915541226417,0.8469776006599191,0.8686374233684091,0.9612243246475589,360
dowel,0.9361111111111111,0.9659285553193787,0.9611111111111111,1.5088275307233423,0.8875450653157875,0.901030176121669,0.986873994828883,360
foam,0.8277777777777777,0.8947368421052632,0.925,1.1206243186115314,0.8324017931294285,0.8095203754280025,0.9417289635423073,360
peach,0.6166666666666667,0.7322559855683392,0.7333333333333333,3.6108575392720152,0.8708947387691167,0.8095670061277859,0.9471622178924151,360
potato,0.8611111111111112,0.9146061520299075,0.7555555555555555,2.6563192465881214,0.8478727056817443,0.8200348294283164,0.9576308201926285,360
rope,0.525,0.5831214751176178,0.7416666666666667,0.3218761376131598,0.8548393915323654,0.9198393251243572,0.9931417724535878,360
tire,0.8138888888888889,0.8884981592973148,0.9555555555555556,1.4238949093750464,0.8657646065789534,0.855403514367612,0.9537507001088332,360
