experiment,category,defect,n_normal,n_defect,auroc_vs_normal,mean_normal_score,mean_defect_score
E1_baseline_rgb,bagel,combined,22,23,0.7806,0.4898,0.5413
E1_baseline_rgb,bagel,contamination,22,22,0.6612,0.4898,0.5345
E1_baseline_rgb,bagel,crack,22,22,0.8368,0.4898,0.5567
E1_baseline_rgb,bagel,hole,22,21,0.6472,0.4898,0.51
E1_baseline_rgb,cable_gland,bent,21,21,0.7642,0.626,0.666
E1_baseline_rgb,cable_gland,cut,21,22,0.8874,0.626,0.6977
E1_baseline_rgb,cable_gland,hole,21,22,0.8203,0.626,0.6847
E1_baseline_rgb,cable_gland,thread,21,22,0.8485,0.626,0.6922
E1_baseline_rgb,carrot,combined,27,27,0.882,0.3841,0.5074
E1_baseline_rgb,carrot,contamination,27,27,0.7929,0.3841,0.4702
E1_baseline_rgb,carrot,crack,27,26,0.7436,0.3841,0.4627
E1_baseline_rgb,carrot,cut,27,26,0.6296,0.3841,0.4222
E1_baseline_rgb,carrot,hole,27,26,0.9687,0.3841,0.5027
E1_baseline_rgb,cookie,combined,28,25,0.6057,0.5003,0.5283
E1_baseline_rgb,cookie,contamination,28,25,0.3014,0.5003,0.4711
E1_baseline_rgb,cookie,crack,28,27,0.5635,0.5003,0.5238
E1_baseline_rgb,cookie,hole,28,26,0.386,0.5003,0.4813
E1_baseline_rgb,dowel,bent,26,27,0.5356,0.466,0.4755
E1_baseline_rgb,dowel,combined,26,26,0.5843,0.466,0.4811
E1_baseline_rgb,dowel,contamination,26,26,0.6598,0.466,0.4976
E1_baseline_rgb,dowel,cut,26,25,0.4923,0.466,0.4619
E1_baseline_rgb,foam,color,20,20,0.9125,0.4803,0.6542
E1_baseline_rgb,foam,combined,20,20,0.7975,0.4803,0.5884
E1_baseline_rgb,foam,contamination,20,20,0.7525,0.4803,0.5353
E1_baseline_rgb,foam,cut,20,20,0.6975,0.4803,0.5311
E1_baseline_rgb,peach,combined,26,25,0.3569,0.5352,0.4997
E1_baseline_rgb,peach,contamination,26,27,0.416,0.5352,0.5166
E1_baseline_rgb,peach,cut,26,25,0.3692,0.5352,0.507
E1_baseline_rgb,peach,hole,26,29,0.3926,0.5352,0.5138
E1_baseline_rgb,potato,combined,22,23,0.3814,0.4958,0.4903
E1_baseline_rgb,potato,contamination,22,23,0.3063,0.4958,0.4739
E1_baseline_rgb,potato,cut,22,23,0.4427,0.4958,0.4868
E1_baseline_rgb,potato,hole,22,23,0.5277,0.4958,0.5011
E1_baseline_rgb,rope,contamination,32,25,0.7638,0.5845,0.6706
E1_baseline_rgb,rope,cut,32,27,0.8565,0.5845,0.6796
E1_baseline_rgb,rope,open,32,17,0.8162,0.5845,0.6695
E1_baseline_rgb,tire,combined,25,5,0.8,0.5525,0.6084
E1_baseline_rgb,tire,contamination,25,28,0.6043,0.5525,0.5666
E1_baseline_rgb,tire,cut,25,27,0.5896,0.5525,0.5631
E1_baseline_rgb,tire,hole,25,27,0.56,0.5525,0.5616
E2_baseline_depth,bagel,combined,22,23,0.8083,0.4903,0.5574
E2_baseline_depth,bagel,contamination,22,22,0.6694,0.4903,0.5057
E2_baseline_depth,bagel,crack,22,22,0.6942,0.4903,0.5324
E2_baseline_depth,bagel,hole,22,21,0.7013,0.4903,0.5215
E2_baseline_depth,cable_gland,bent,21,21,0.2109,0.6169,0.5264
E2_baseline_depth,cable_gland,cut,21,22,0.145,0.6169,0.5209
E2_baseline_depth,cable_gland,hole,21,22,0.1407,0.6169,0.5232
E2_baseline_depth,cable_gland,thread,21,22,0.1688,0.6169,0.5214
E2_baseline_depth,carrot,combined,27,27,0.4883,0.6233,0.6128
E2_baseline_depth,carrot,contamination,27,27,0.4952,0.6233,0.6139
E2_baseline_depth,carrot,crack,27,26,0.5869,0.6233,0.6416
