category,image_auroc_max,image_auprc_max,pixel_auroc,pixel_auprc,aupro,max_image_auroc,max_pixel_auroc,num_test_images,num_anomalous
bagel,0.8538223140495868,0.9572672629154679,0.9855832604795204,0.3334040515894686,0.9293982224008418,0.7789256198347108,0.9647929616246492,110,88
cable_gland,0.7110016420361248,0.8841032117285381,0.8997095552339047,0.017120432520638613,0.6743222924026957,0.6338259441707718,0.9380061946679412,108,87
carrot,0.7370931537598204,0.9386503539756662,0.9831435278201169,0.28157432513729275,0.9481381329346891,0.7960157126823794,0.9778402181619873,159,132
cookie,0.5707350901525658,0.853597716934914,0.9650783195313173,0.4436298053201037,0.8532423405440881,0.5783633841886269,0.9170413865107833,131,103
dowel,0.5931952662721893,0.8395841682004053,0.9672050284059365,0.15570136211916652,0.8727846224002727,0.5003698224852071,0.9581629860662609,130,104
foam,0.6656249999999999,0.8822261529136832,0.8797066458701363,0.07433360301946668,0.6820360577434021,0.6218750000000001,0.8737946931059406,100,80
peach,0.5696661828737299,0.8018539884302998,0.9793984707197442,0.16055457578615817,0.9251252253591687,0.5043541364296081,0.9665571987070727,132,106
potato,0.5978260869565217,0.8752705859370784,0.98864258637195,0.18249133078845917,0.9583950665293806,0.46739130434782605,0.9867865392367838,114,92
rope,0.6965579710144928,0.8390185688836429,0.9722666898134924,0.3898844128055507,0.9050025711215323,0.6625905797101449,0.9524655968813072,101,69
tire,0.5402298850574713,0.8276985694444216,0.9414934320562187,0.03638321196548277,0.7811194922522506,0.5572413793103448,0.9324742589296937,112,87
