category,backend,d_I_AUROC,d_I_AUPRC,d_P_AUROC,d_P_AUPRC,d_AUPRO,d_vs_native_I_AUROC,d_vs_native_P_AUROC,d_vs_native_AUPRO
bagel,onnx,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.00072,-0.00279
cable_gland,onnx,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.00411,-0.01347
carrot,onnx,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.00013,-0.00058
cookie,onnx,0.0,0.0,0.0,0.0,0.0,0.0,-0.00136,-0.00452
dowel,onnx,0.0,0.0,0.0,-0.0,0.0,0.0,-0.00027,-0.00121
foam,onnx,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.00204,-0.00482
peach,onnx,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0009,-0.00346
potato,onnx,0.0,0.0,0.0,0.0,0.0,0.0,-0.00023,-0.00101
rope,onnx,0.0,0.0,0.0,0.0,0.0,0.0,-0.00964,-0.01137
tire,onnx,0.0,0.0,0.0,0.0,0.0,0.0,-0.00081,0.00099
