category,image_auroc_max,image_auprc_max,pixel_auroc,pixel_auprc,aupro,max_image_auroc,max_pixel_auroc,num_test_images,num_anomalous
bagel,0.8553719008264462,0.9580350344669127,0.9856572259307048,0.3344467829229345,0.9297777030216575,0.7778925619834711,0.9648320334534377,110,88
cable_gland,0.7449370552818828,0.8947201545706458,0.887053881081409,0.014094081900229257,0.6351395098804079,0.6382047071702245,0.9288980544194299,108,87
carrot,0.7354096520763187,0.9380761233064556,0.9829477571222969,0.28114983807159444,0.947560315687354,0.7951739618406285,0.9776664048245578,159,132
cookie,0.565880721220527,0.8517731983224008,0.9648165199665846,0.44265316758783285,0.8523625930691185,0.5773231622746186,0.9167998331444055,131,103
dowel,0.5943047337278106,0.8442588932077495,0.9671297801054413,0.15529925552226748,0.8726050481575803,0.5007396449704141,0.9580696839107504,130,104
foam,0.665625,0.8822037745791584,0.8792448384121707,0.07395359332027038,0.6811263434878634,0.625,0.8730577443596436,100,80
peach,0.56966618287373,0.8019326178873578,0.9794409862635387,0.16078313382041842,0.9253053295473972,0.5039912917271407,0.9665626791174204,132,106
potato,0.5983201581027667,0.87528624846935,0.9886313090624214,0.18319166115468724,0.95825423224616,0.46590909090909094,0.9867655341414138,114,92
rope,0.6929347826086956,0.8382072410240252,0.9719201857963516,0.38758160891679055,0.9042882187740519,0.6612318840579711,0.9520875360119911,101,69
tire,0.5429885057471264,0.8297486199808779,0.9413109418606889,0.03635094379864404,0.7806524961602788,0.5577011494252874,0.9322208266327199,112,87
