category,backend,d_I_AUROC,d_I_AUPRC,d_P_AUROC,d_P_AUPRC,d_AUPRO,d_vs_native_I_AUROC,d_vs_native_P_AUROC,d_vs_native_AUPRO
bagel,openvino_fp32,0.00155,0.00077,7e-05,0.00104,0.00038,0.00155,-0.00064,-0.00241
cable_gland,openvino_fp32,0.03394,0.01062,-0.01266,-0.00303,-0.03919,0.03394,-0.01677,-0.05265
carrot,openvino_fp32,-0.00168,-0.00057,-0.0002,-0.00042,-0.00058,-0.00168,-0.00033,-0.00116
cookie,openvino_fp32,-0.00485,-0.00182,-0.00026,-0.00098,-0.00088,-0.00485,-0.00163,-0.0054
dowel,openvino_fp32,0.00111,0.00467,-8e-05,-0.0004,-0.00018,0.00111,-0.00035,-0.00139
foam,openvino_fp32,0.0,-2e-05,-0.00046,-0.00038,-0.00091,0.0,-0.0025,-0.00573
peach,openvino_fp32,0.0,8e-05,4e-05,0.00023,0.00018,0.0,-0.00085,-0.00328
potato,openvino_fp32,0.00049,2e-05,-1e-05,0.0007,-0.00014,0.00049,-0.00024,-0.00116
rope,openvino_fp32,-0.00362,-0.00081,-0.00035,-0.0023,-0.00071,-0.00362,-0.00998,-0.01209
tire,openvino_fp32,0.00276,0.00205,-0.00018,-3e-05,-0.00047,0.00276,-0.001,0.00052
