category,image_auroc_max,image_auprc_max,pixel_auroc,pixel_auprc,aupro,max_image_auroc,max_pixel_auroc,num_test_images,num_anomalous
bagel,0.7902892561983471,0.9296991403763721,0.9594287199366306,0.204918478421968,0.8295376980469419,0.7618801652892563,0.9526034661980751,110,88
cable_gland,0.7920087575259989,0.9019009497756948,0.8714538587110917,0.012259477226960306,0.6003378523451709,0.608648056923919,0.9062186487664241,108,87
carrot,0.48821548821548827,0.8419640259627648,0.8500470151041233,0.03999277490308908,0.6627490959157369,0.33978675645342304,0.8156685068310703,159,132
cookie,0.2871012482662968,0.7464521168909907,0.8857309045943325,0.17464880491603854,0.5982183878367676,0.3789875173370319,0.8668771892460081,131,103
dowel,0.6357248520710058,0.8647008218231907,0.814140169661228,0.03544011176079975,0.5302463261025696,0.584689349112426,0.7837996415940881,130,104
foam,0.54375,0.8469933928352056,0.7461654554362743,0.010492093162979811,0.44764699294114163,0.4871875,0.7599875678743492,100,80
peach,0.501088534107402,0.8150394076274088,0.9162454854296651,0.041168801397694896,0.7130892974069218,0.5731132075471699,0.9289880792109625,132,106
potato,0.4068675889328063,0.8064652652075441,0.9203361951749296,0.023393675168548362,0.7511705316765754,0.4691205533596838,0.9381874968378779,114,92
rope,0.723731884057971,0.8764775774923921,0.8113703521223249,0.1324494491844301,0.6082558997581715,0.6680253623188407,0.7849608172846112,101,69
tire,0.5383908045977012,0.7882713565472407,0.882559357853246,0.023175576023926416,0.668576879874258,0.5351724137931035,0.8278944894331923,112,87
