category,backend,d_I_AUROC,d_I_AUPRC,d_P_AUROC,d_P_AUPRC,d_AUPRO,d_vs_native_I_AUROC,d_vs_native_P_AUROC,d_vs_native_AUPRO
bagel,openvino_int8,-0.06353,-0.02757,-0.02615,-0.12849,-0.09986,-0.06353,-0.02687,-0.10265
cable_gland,openvino_int8,0.08101,0.0178,-0.02826,-0.00486,-0.07399,0.08101,-0.03237,-0.08746
carrot,openvino_int8,-0.24888,-0.09669,-0.1331,-0.24158,-0.28539,-0.24888,-0.13323,-0.28597
cookie,openvino_int8,-0.28363,-0.10715,-0.07935,-0.26898,-0.25502,-0.28363,-0.08071,-0.25955
dowel,openvino_int8,0.04253,0.02512,-0.15306,-0.12026,-0.34254,0.04253,-0.15334,-0.34375
foam,openvino_int8,-0.12187,-0.03523,-0.13354,-0.06384,-0.23439,-0.12187,-0.13558,-0.23921
peach,openvino_int8,-0.06858,0.01319,-0.06315,-0.11939,-0.21204,-0.06858,-0.06405,-0.21549
potato,openvino_int8,-0.19096,-0.06881,-0.06831,-0.1591,-0.20722,-0.19096,-0.06854,-0.20824
rope,openvino_int8,0.02717,0.03746,-0.1609,-0.25743,-0.29675,0.02717,-0.17053,-0.30812
tire,openvino_int8,-0.00184,-0.03943,-0.05893,-0.01321,-0.11254,-0.00184,-0.05975,-0.11156
