category,image_auroc_max,image_auprc_max,pixel_auroc,pixel_auprc,aupro,max_image_auroc,max_pixel_auroc,num_test_images,num_anomalous
bagel,0.8538223140495868,0.9572672629154679,0.9855832599726939,0.3334040733445153,0.9293982108331988,0.7789256198347108,0.964792955280839,110,88
cable_gland,0.7110016420361248,0.8841032117285381,0.8997106732291025,0.017120758999119964,0.6743259179080601,0.6338259441707718,0.9380070862774325,108,87
carrot,0.7370931537598204,0.9386503539756662,0.9831435529742834,0.28157461382670046,0.9481381321305601,0.7960157126823794,0.9778401893026479,159,132
cookie,0.5707350901525658,0.853597716934914,0.9650782555185905,0.4436297277980919,0.8532420548196803,0.5783633841886269,0.9170412847680893,131,103
dowel,0.5931952662721893,0.8395841682004053,0.9672049768764981,0.1557014272411387,0.87278450677503,0.5003698224852071,0.9581628962972542,130,104
foam,0.6656249999999999,0.8822261529136832,0.8797066545270953,0.07433371743355612,0.6820363171879442,0.6218750000000001,0.8737947352610661,100,80
peach,0.5696661828737299,0.8018539884302998,0.9793984464009425,0.16055470796271668,0.9251251366063453,0.5043541364296081,0.966557184706021,132,106
potato,0.5978260869565217,0.8752705859370784,0.9886425624811324,0.1824907961803938,0.9583949698834093,0.46739130434782605,0.9867865377542153,114,92
rope,0.6965579710144928,0.8390185688836429,0.9722666611585002,0.38988420774624777,0.9050023902145151,0.6625905797101449,0.9524655334459982,101,69
tire,0.5402298850574713,0.8276985694444216,0.9414933962260889,0.03638320184363017,0.7811193395845575,0.5572413793103448,0.9324742092665198,112,87
