category,n_train,input_valid_mean%,input_valid_min%,stage8_valid_mean%,stage8_valid_min%,stage16_valid_mean%,stage16_valid_min%
bagel,244,83.49,82.24,96.2,94.73,96.67,94.53
cable_gland,223,63.06,59.3,89.19,81.64,93.64,88.67
carrot,286,98.39,97.66,99.95,99.61,100.0,100.0
cookie,210,90.17,89.3,97.62,96.68,98.4,97.27
dowel,288,98.84,98.44,99.98,99.8,100.0,100.0
foam,236,94.34,93.29,97.41,95.7,98.56,96.48
peach,361,84.19,80.59,97.56,96.19,97.87,96.09
potato,300,91.51,88.86,99.36,98.34,99.72,98.44
rope,298,99.3,99.14,100.0,100.0,100.0,100.0
tire,210,84.9,84.08,87.11,86.04,88.19,86.33
