category,n,mean_p_rgb,frac_rgb_dom,frac_depth_dom,frac_joint,frac_uncertain,s_full_mean,s_full_min,large_gt_frac
bagel,110.0,0.5334719697393071,0.2818181818181818,0.0,0.5181818181818182,0.2,8.130698780580001,5.295628547668457,0.21818181818181817
cable_gland,108.0,0.6624408888430785,0.6666666666666666,0.0,0.1388888888888889,0.19444444444444445,9.563474310768974,6.479620456695557,0.0
carrot,159.0,0.5887738040128636,0.4339622641509434,0.0,0.39622641509433965,0.16981132075471697,11.085540588546849,5.79779052734375,0.0
cookie,131.0,0.419172129133613,0.05343511450381679,0.007633587786259542,0.7251908396946565,0.21374045801526717,5.398901060337328,2.970278024673462,0.44274809160305345
dowel,130.0,0.5010519467151618,0.2230769230769231,0.007692307692307693,0.5692307692307692,0.2,8.605654888886672,6.150094509124756,0.007692307692307693
foam,100.0,0.6325948468705671,0.56,0.01,0.23,0.2,5.262351229190826,3.2041332721710205,0.01
peach,132.0,0.638396343228905,0.7121212121212122,0.0,0.09090909090909091,0.19696969696969696,9.083261414007707,5.665308475494385,0.007575757575757576
potato,114.0,0.6226871299126102,0.5,0.0,0.30701754385964913,0.19298245614035087,7.942014363774082,5.060466766357422,0.0
rope,101.0,0.1554196441046392,0.0,0.5544554455445545,0.12871287128712872,0.31683168316831684,15.410563336740626,9.557454109191895,0.18811881188118812
tire,112.0,0.4324959541479951,0.08035714285714286,0.0,0.6964285714285714,0.22321428571428573,6.631886925016131,5.248077869415283,0.0
