category,old_H4B_I,new_H4B_I,delta_I,old_H4B_P,new_H4B_P,delta_P,old_H4B_AUPRO,new_H4B_AUPRO,delta_AUPRO
bagel,0.999,0.999,0.0,0.9959710228982436,0.9959710228982436,0.0,0.9626935369045544,0.9626935369045544,0.0
cable_gland,0.983,0.983,0.0,0.9978956581326318,0.9978956581326318,0.0,0.9846993257468316,0.9846993257468316,0.0
carrot,0.967,0.967,0.0,0.9983991142587072,0.9983991142587072,0.0,0.984513700224894,0.984513700224894,0.0
cookie,0.9480790568654648,0.9480790568654648,0.0,0.9747192604855636,0.9747192604855636,0.0,0.9317336928263074,0.9317336928263074,0.0
dowel,0.97,0.97,0.0,0.999,0.999,0.0,0.983576725408978,0.983576725408978,0.0
foam,0.89,0.89,0.0,0.9568744178961026,0.9568744178961026,0.0,0.8461921458411529,0.8461921458411529,0.0
peach,0.987,0.987,0.0,0.99757313007168,0.99757313007168,0.0,0.9808722335829116,0.9808722335829116,0.0
potato,0.85,0.85,0.0,0.993590145827152,0.993590145827152,0.0,0.9642763121478212,0.9642763121478212,0.0
rope,0.999,0.999,0.0,0.9979660529216756,0.9979660529216756,0.0,0.9662101455400056,0.9662101455400056,0.0
tire,0.947,0.947,0.0,0.9987961959441825,0.9987961959441825,0.0,0.9803810195265136,0.9803810195265136,0.0
MEAN,0.9540079056865464,0.9540079056865464,0.0,0.9910784998435938,0.9910784998435938,0.0,0.9585148837749968,0.9585148837749968,0.0
