category,H4B_I,H4B_P,H4B_AUPRO,H5D_I,H5D_P,H5D_AUPRO,Delta_I,Delta_P,Delta_AUPRO
bagel,0.999,0.996,0.9627,0.999,0.9972,0.9712,0.0,0.0011999999999999789,0.008499999999999952
cable_gland,0.983,0.9979,0.9847,0.989,0.9987,0.9889,0.006000000000000005,0.0008000000000000229,0.0041999999999999815
carrot,0.967,0.9984,0.9845,0.975,0.999,0.9896,0.008000000000000007,0.0006000000000000449,0.005099999999999993
cookie,0.9481,0.9747,0.9317,0.9641,0.9832,0.9502,0.015999999999999903,0.008499999999999952,0.018500000000000072
dowel,0.97,0.999,0.9836,0.975,0.999,0.9876,0.0050000000000000044,0.0,0.0040000000000000036
foam,0.89,0.9569,0.8462,0.918,0.9714,0.8842,0.028000000000000025,0.014500000000000068,0.038000000000000034
peach,0.987,0.9976,0.9809,0.991,0.9985,0.9854,0.0040000000000000036,0.0009000000000000119,0.0045000000000000595
potato,0.85,0.9936,0.9643,0.885,0.9968,0.9768,0.03500000000000003,0.0031999999999999806,0.012499999999999956
rope,0.999,0.998,0.9662,0.999,0.9988,0.9734,0.0,0.0008000000000000229,0.007200000000000095
tire,0.947,0.9988,0.9804,0.959,0.999,0.9866,0.01200000000000001,0.00019999999999997797,0.006199999999999983
MEAN,0.9540099999999999,0.9910899999999998,0.95852,0.96541,0.9941599999999999,0.96939,0.011400000000000077,0.003070000000000128,0.010869999999999935
