model,category,provenance,I,P,AUPRO
H3D_DecisionFusion,bagel,measured_by_us,0.9806239669421488,0.9932069108100328,0.9591206795834756
H3D_DecisionFusion,cable_gland,measured_by_us,0.9335610290093048,0.9937990259738444,0.9734147574422256
H3D_DecisionFusion,carrot,measured_by_us,0.9249472502805836,0.9950507122749828,0.9746107428468702
H3D_DecisionFusion,cookie,measured_by_us,0.8998169209431346,0.9750623461365632,0.9143904311471536
H3D_DecisionFusion,dowel,measured_by_us,0.9429112426035504,0.9966003922776352,0.9757288232278446
H3D_DecisionFusion,foam,measured_by_us,0.794875,0.968717495196432,0.880989869096336
H3D_DecisionFusion,peach,measured_by_us,0.9720783744557328,0.9946118799860894,0.9732639075918946
H3D_DecisionFusion,potato,measured_by_us,0.6685731225296443,0.991331145711054,0.957810775836404
H3D_DecisionFusion,rope,measured_by_us,0.999,0.9955947251630166,0.9676532688280056
H3D_DecisionFusion,tire,measured_by_us,0.8627126436781609,0.9929422815671964,0.96349429751722
H3D_DecisionFusion,MEAN,measured_by_us,0.897909955044226,0.9896916915096845,0.954047755311743
