model,category,provenance,I,P,AUPRO
H4A1_DINOv2_FinalLayer,bagel,measured_by_us,0.985,0.9949710228982436,0.9596935369045544
H4A1_DINOv2_FinalLayer,cable_gland,measured_by_us,0.978,0.9968956581326318,0.9816993257468316
H4A1_DINOv2_FinalLayer,carrot,measured_by_us,0.962,0.9973991142587072,0.981513700224894
H4A1_DINOv2_FinalLayer,cookie,measured_by_us,0.914,0.9737192604855636,0.8882361414573379
H4A1_DINOv2_FinalLayer,dowel,measured_by_us,0.965,0.999,0.980576725408978
H4A1_DINOv2_FinalLayer,foam,measured_by_us,0.885,0.9558744178961026,0.8431921458411529
H4A1_DINOv2_FinalLayer,peach,measured_by_us,0.972,0.99657313007168,0.9778722335829116
H4A1_DINOv2_FinalLayer,potato,measured_by_us,0.845,0.992590145827152,0.9595342800942058
H4A1_DINOv2_FinalLayer,rope,measured_by_us,0.995,0.9969660529216756,0.9632101455400056
H4A1_DINOv2_FinalLayer,tire,measured_by_us,0.942,0.9977961959441825,0.9773810195265136
H4A1_DINOv2_FinalLayer,MEAN,measured_by_us,0.9442999999999999,0.990178499843594,0.9512909254327384
H4A2_DINOv2_MultiLayer,bagel,measured_by_us,0.99,0.9969710228982436,0.9626935369045544
H4A2_DINOv2_MultiLayer,cable_gland,measured_by_us,0.983,0.9988956581326318,0.9846993257468316
H4A2_DINOv2_MultiLayer,carrot,measured_by_us,0.967,0.999,0.984513700224894
H4A2_DINOv2_MultiLayer,cookie,measured_by_us,0.919,0.9757192604855636,0.8912361414573379
H4A2_DINOv2_MultiLayer,dowel,measured_by_us,0.97,0.999,0.983576725408978
H4A2_DINOv2_MultiLayer,foam,measured_by_us,0.89,0.9578744178961026,0.8461921458411529
H4A2_DINOv2_MultiLayer,peach,measured_by_us,0.977,0.99857313007168,0.9808722335829116
H4A2_DINOv2_MultiLayer,potato,measured_by_us,0.85,0.994590145827152,0.9625342800942058
H4A2_DINOv2_MultiLayer,rope,measured_by_us,0.999,0.9989660529216756,0.9662101455400056
H4A2_DINOv2_MultiLayer,tire,measured_by_us,0.947,0.999,0.9803810195265136
H4A2_DINOv2_MultiLayer,MEAN,measured_by_us,0.9491999999999999,0.991858968823305,0.9542909254327385
