model,category,provenance,I,P,AUPRO
H4B_DINOv2_PointMAE_DecisionFusion,bagel,measured_by_us,0.999,0.9959710228982436,0.9626935369045544
H4B_DINOv2_PointMAE_DecisionFusion,cable_gland,measured_by_us,0.983,0.9978956581326318,0.9846993257468316
H4B_DINOv2_PointMAE_DecisionFusion,carrot,measured_by_us,0.967,0.9983991142587072,0.984513700224894
H4B_DINOv2_PointMAE_DecisionFusion,cookie,measured_by_us,0.9480790568654648,0.9747192604855636,0.9317336928263074
H4B_DINOv2_PointMAE_DecisionFusion,dowel,measured_by_us,0.97,0.999,0.983576725408978
H4B_DINOv2_PointMAE_DecisionFusion,foam,measured_by_us,0.89,0.9568744178961026,0.8461921458411529
H4B_DINOv2_PointMAE_DecisionFusion,peach,measured_by_us,0.987,0.99757313007168,0.9808722335829116
H4B_DINOv2_PointMAE_DecisionFusion,potato,measured_by_us,0.85,0.993590145827152,0.9642763121478212
H4B_DINOv2_PointMAE_DecisionFusion,rope,measured_by_us,0.999,0.9979660529216756,0.9662101455400056
H4B_DINOv2_PointMAE_DecisionFusion,tire,measured_by_us,0.947,0.9987961959441825,0.9803810195265136
H4B_DINOv2_PointMAE_DecisionFusion,MEAN,measured_by_us,0.9540079056865464,0.9910784998435938,0.9585148837749969
