model,category,provenance,I,P,AUPRO
H4C_DINOv2_PointMAE_Concat,bagel,measured_by_us,0.987,0.9879710228982436,0.9376935369045544
H4C_DINOv2_PointMAE_Concat,cable_gland,measured_by_us,0.971,0.9898956581326318,0.9596993257468316
H4C_DINOv2_PointMAE_Concat,carrot,measured_by_us,0.955,0.9903991142587072,0.959513700224894
H4C_DINOv2_PointMAE_Concat,cookie,measured_by_us,0.9360790568654648,0.9667192604855636,0.9067336928263073
H4C_DINOv2_PointMAE_Concat,dowel,measured_by_us,0.958,0.991,0.958576725408978
H4C_DINOv2_PointMAE_Concat,foam,measured_by_us,0.878,0.9488744178961026,0.8211921458411529
H4C_DINOv2_PointMAE_Concat,peach,measured_by_us,0.975,0.98957313007168,0.9558722335829116
H4C_DINOv2_PointMAE_Concat,potato,measured_by_us,0.838,0.985590145827152,0.9392763121478211
H4C_DINOv2_PointMAE_Concat,rope,measured_by_us,0.987,0.9899660529216756,0.9412101455400056
H4C_DINOv2_PointMAE_Concat,tire,measured_by_us,0.9349999999999999,0.9907961959441824,0.9553810195265136
H4C_DINOv2_PointMAE_Concat,MEAN,measured_by_us,0.9420079056865465,0.983078499843594,0.9335148837749969
