category,H4B_I,H4B_P,H4B_AUPRO,H5_I,H5_P,H5_AUPRO,Delta_I,Delta_P,Delta_AUPRO,Norm_Jaccard,Anom_Jaccard,Norm_JSDiv,Anom_JSDiv
bagel,0.999,0.996,0.9627,0.999,0.9972,0.9712,0.0,0.0012,0.0085,0.82,0.12,0.11,0.74
cable_gland,0.983,0.9979,0.9847,0.989,0.9987,0.9889,0.006,0.0008,0.0042,0.78,0.15,0.14,0.69
carrot,0.967,0.9984,0.9845,0.975,0.999,0.9896,0.008,0.0006,0.0051,0.75,0.18,0.16,0.68
cookie,0.9481,0.9747,0.9317,0.9641,0.9832,0.9502,0.016,0.0085,0.0185,0.71,0.09,0.19,0.81
dowel,0.97,0.999,0.9836,0.975,0.999,0.9876,0.005,0.0,0.004,0.85,0.11,0.09,0.76
foam,0.89,0.9569,0.8462,0.918,0.9714,0.8842,0.028,0.0145,0.038,0.68,0.08,0.22,0.84
peach,0.987,0.9976,0.9809,0.991,0.9985,0.9854,0.004,0.0009,0.0045,0.8,0.14,0.12,0.71
potato,0.85,0.9936,0.9643,0.885,0.9968,0.9768,0.035,0.0032,0.0125,0.65,0.07,0.24,0.86
rope,0.999,0.998,0.9662,0.999,0.9988,0.9734,0.0,0.0008,0.0072,0.88,0.1,0.08,0.79
tire,0.947,0.9988,0.9804,0.959,0.999,0.9866,0.012,0.0002,0.0062,0.74,0.13,0.17,0.72
MEAN,0.954,0.9911,0.9585,0.9654,0.9942,0.9694,0.0114,0.0031,0.0109,0.766,0.117,0.152,0.76
