category,normal_jaccard_mean,normal_jaccard_std,anomaly_jaccard_mean,anomaly_jaccard_std,normal_js_mean,normal_js_std,anomaly_js_mean,anomaly_js_std,n_normal_patches,n_anomaly_patches
bagel,0.824,0.062,0.118,0.081,0.112,0.041,0.742,0.112,45120,8940
cable_gland,0.781,0.074,0.149,0.092,0.138,0.048,0.691,0.125,42080,9210
carrot,0.752,0.081,0.178,0.104,0.159,0.053,0.682,0.131,41200,7850
cookie,0.713,0.089,0.092,0.073,0.188,0.059,0.814,0.108,39800,11400
dowel,0.851,0.055,0.111,0.078,0.092,0.035,0.758,0.119,46500,6920
foam,0.684,0.094,0.079,0.065,0.219,0.067,0.841,0.098,38200,12800
peach,0.802,0.068,0.138,0.087,0.121,0.044,0.712,0.122,43500,8100
potato,0.652,0.098,0.068,0.059,0.238,0.072,0.862,0.091,37100,13500
rope,0.879,0.048,0.098,0.071,0.081,0.031,0.792,0.115,48200,7100
tire,0.741,0.083,0.131,0.089,0.169,0.055,0.724,0.128,40900,9800
MEAN,0.7679,0.0752,0.1162,0.0799,0.1517,0.0505,0.7618,0.1149,422600,95620
